horizon_id,sample_count,marginal_row_count,prof_match_row_count,prof_missing_row_count,split_pair_count,split_equal_row_count,external_law_count,external_seed_law_count,external_propagated_law_count,external_dependency_count,extension_flag,split_stabilized_flag,prof_obstructed_flag
0,1,3,3,0,0,0,0,0,0,0,0,1,0
1,2,5,5,0,1,15,0,0,0,0,0,1,0
2,3,7,7,0,2,42,0,0,0,0,0,1,0
3,4,9,9,0,3,81,0,0,0,0,0,1,0
4,5,11,11,0,4,132,0,0,0,0,0,1,0
5,6,13,13,0,5,195,0,0,0,0,0,1,0
6,7,15,15,0,6,270,0,0,0,0,0,1,0
7,8,17,17,0,7,357,0,0,0,0,0,1,0
8,9,19,0,19,8,456,14,7,7,133,1,1,1
9,10,21,0,21,7,441,14,7,7,147,1,1,1
10,11,23,0,23,6,414,14,7,7,161,1,1,1
11,12,25,0,25,5,375,14,7,7,175,1,1,1
12,13,27,0,27,4,324,14,7,7,189,1,1,1
13,14,29,0,29,3,261,14,7,7,203,1,1,1
14,15,31,0,31,2,186,14,7,7,217,1,1,1
15,16,33,0,33,1,99,14,7,7,231,1,1,1
