split_horizon_id,sample_count,split_pair_count,split_row_count,split_equal_count,split_violation_count,extension_flag,cover_flag
0,1,0,0,0,0,0,1
1,2,1,15,15,0,0,1
2,3,2,42,42,0,0,1
3,4,3,81,81,0,0,1
4,5,4,132,132,0,0,1
5,6,5,195,195,0,0,1
6,7,6,270,270,0,0,1
7,8,7,357,357,0,0,1
8,9,8,456,456,0,1,1
9,10,7,441,441,0,1,1
10,11,6,414,414,0,1,1
11,12,5,375,375,0,1,1
12,13,4,324,324,0,1,1
13,14,3,261,261,0,1,1
14,15,2,186,186,0,1,1
15,16,1,99,99,0,1,1
