edge_id,left_basis_id,right_basis_id,left_source0_addr,left_source1_addr,left_target_addr,left_coeff,right_source0_addr,right_source1_addr,right_target_addr,right_coeff,left_endpoint_raw_flag,right_endpoint_raw_flag,endpoint_pair_raw_backed_flag,normal_form_delta_t,semantic_operation_row_id,direct_semantic_operation_flag,obstruction_code
0,0,1,118,984,107,1,119,880,77,2,1,1,1,1,-1,0,0
1,0,2,118,984,107,1,119,983,107,1,1,1,1,1,-1,0,0
2,0,3,118,984,107,1,120,984,108,1,1,1,1,1,-1,0,0
3,1,2,119,880,77,2,119,983,107,1,1,1,1,1,-1,0,0
4,1,5,119,880,77,2,127,880,78,1,1,1,1,1,-1,0,0
5,1,20,119,880,77,2,137,879,77,2,1,1,1,1,-1,0,0
6,1,32,119,880,77,2,138,836,53,1,1,1,1,1,-1,0,0
7,2,3,119,983,107,1,120,984,108,1,1,1,1,1,-1,0,0
8,2,8,119,983,107,1,130,982,107,1,1,1,1,1,-1,0,0
9,3,6,120,984,108,1,127,984,109,1,1,1,1,1,-1,0,0
10,3,8,120,984,108,1,130,982,107,1,1,1,1,1,-1,0,0
11,4,7,127,752,33,4,130,732,0,4,1,1,1,1,-1,0,0
12,4,11,127,752,33,4,134,751,33,4,1,1,1,1,-1,0,0
13,4,13,127,752,33,4,136,752,34,2,1,1,1,1,-1,0,0
14,4,19,127,752,33,4,137,772,45,2,1,1,1,1,-1,0,0
15,5,8,127,880,78,1,130,982,107,1,1,1,1,1,-1,0,0
16,5,14,127,880,78,1,136,880,89,1,1,1,1,1,-1,0,0
17,5,20,127,880,78,1,137,879,77,2,1,1,1,1,-1,0,0
18,6,8,127,984,109,1,130,982,107,1,1,1,1,1,-1,0,0
19,6,16,127,984,109,1,136,984,125,1,1,1,1,1,-1,0,0
20,7,9,130,732,0,4,133,731,0,4,1,1,1,1,-1,0,0
21,7,10,130,732,0,4,133,732,1,8,1,1,1,1,-1,0,0
22,7,11,130,732,0,4,134,751,33,4,1,1,1,1,-1,0,0
23,8,12,130,982,107,1,135,982,108,1,1,1,1,1,-1,0,0
24,8,14,130,982,107,1,136,880,89,1,1,1,1,1,-1,0,0
25,8,16,130,982,107,1,136,984,125,1,1,1,1,1,-1,0,0
26,8,22,130,982,107,1,137,979,107,2,1,1,1,1,-1,0,0
27,9,10,133,731,0,4,133,732,1,8,1,1,1,1,-1,0,0
28,9,25,133,731,0,4,138,730,0,4,1,1,1,1,-1,0,0
29,9,26,133,731,0,4,138,732,2,4,1,1,1,1,-1,0,0
30,10,11,133,732,1,8,134,751,33,4,1,1,1,1,-1,0,0
31,10,26,133,732,1,8,138,732,2,4,1,1,1,1,-1,0,0
32,11,13,134,751,33,4,136,752,34,2,1,1,1,1,-1,0,0
33,11,26,134,751,33,4,138,732,2,4,1,1,1,1,-1,0,0
34,11,27,134,751,33,4,138,750,33,2,1,1,1,1,-1,0,0
35,12,15,135,982,108,1,136,982,111,1,1,1,1,1,-1,0,0
36,12,16,135,982,108,1,136,984,125,1,1,1,1,1,-1,0,0
37,12,22,135,982,108,1,137,979,107,2,1,1,1,1,-1,0,0
38,13,17,136,752,34,2,137,751,34,4,1,1,1,1,-1,0,0
39,13,18,136,752,34,2,137,752,37,4,1,1,1,1,-1,0,0
40,13,19,136,752,34,2,137,772,45,2,1,1,1,1,-1,0,0
41,13,27,136,752,34,2,138,750,33,2,1,1,1,1,-1,0,0
42,14,20,136,880,89,1,137,879,77,2,1,1,1,1,-1,0,0
43,14,21,136,880,89,1,137,880,95,2,1,1,1,1,-1,0,0
44,14,22,136,880,89,1,137,979,107,2,1,1,1,1,-1,0,0
45,15,16,136,982,111,1,136,984,125,1,1,1,1,1,-1,0,0
46,15,22,136,982,111,1,137,979,107,2,1,1,1,1,-1,0,0
47,15,23,136,982,111,1,137,981,111,1,1,1,1,1,-1,0,0
48,15,40,136,982,111,1,138,982,114,1,1,1,1,1,-1,0,0
49,16,24,136,984,125,1,137,984,137,2,1,1,1,1,-1,0,0
50,17,18,137,751,34,4,137,752,37,4,1,1,1,1,-1,0,0
51,17,27,137,751,34,4,138,750,33,2,1,1,1,1,-1,0,0
52,17,28,137,751,34,4,138,751,35,4,1,1,1,1,-1,0,0
53,18,19,137,752,37,4,137,772,45,2,1,1,1,1,-1,0,0
54,18,29,137,752,37,4,138,752,39,12,1,1,1,1,-1,0,0
55,19,30,137,772,45,2,138,770,45,2,1,1,1,1,-1,0,0
56,19,31,137,772,45,2,138,772,46,1,1,1,1,1,-1,0,0
57,19,32,137,772,45,2,138,836,53,1,1,1,1,1,-1,0,0
58,20,21,137,879,77,2,137,880,95,2,1,1,1,1,-1,0,0
59,20,32,137,879,77,2,138,836,53,1,1,1,1,1,-1,0,0
60,20,33,137,879,77,2,138,876,77,2,1,1,1,1,-1,0,0
61,20,34,137,879,77,2,138,877,78,1,1,1,1,1,-1,0,0
62,20,35,137,879,77,2,138,879,79,2,1,1,1,1,-1,0,0
63,21,22,137,880,95,2,137,979,107,2,1,1,1,1,-1,0,0
64,21,36,137,880,95,2,138,880,105,6,1,1,1,1,-1,0,0
65,22,23,137,979,107,2,137,981,111,1,1,1,1,1,-1,0,0
66,22,37,137,979,107,2,138,969,107,1,1,1,1,1,-1,0,0
67,22,38,137,979,107,2,138,972,109,1,1,1,1,1,-1,0,0
68,22,39,137,979,107,2,138,981,113,1,1,1,1,1,-1,0,0
69,23,39,137,981,111,1,138,981,113,1,1,1,1,1,-1,0,0
70,23,40,137,981,111,1,138,982,114,1,1,1,1,1,-1,0,0
71,24,40,137,984,137,2,138,982,114,1,1,1,1,1,-1,0,0
72,24,41,137,984,137,2,138,984,138,2,1,1,1,1,-1,0,0
73,25,26,138,730,0,4,138,732,2,4,1,1,1,1,-1,0,0
74,25,63,138,730,0,4,214,732,139,2,1,1,1,1,-1,0,0
75,26,27,138,732,2,4,138,750,33,2,1,1,1,1,-1,0,0
76,26,63,138,732,2,4,214,732,139,2,1,1,1,1,-1,0,0
77,27,28,138,750,33,2,138,751,35,4,1,1,1,1,-1,0,0
78,27,53,138,750,33,2,210,752,151,2,1,1,1,1,-1,0,0
79,28,29,138,751,35,4,138,752,39,12,1,1,1,1,-1,0,0
80,28,53,138,751,35,4,210,752,151,2,1,1,1,1,-1,0,0
81,29,30,138,752,39,12,138,770,45,2,1,1,1,1,-1,0,0
82,29,53,138,752,39,12,210,752,151,2,1,1,1,1,-1,0,0
83,30,31,138,770,45,2,138,772,46,1,1,1,1,1,-1,0,0
84,30,59,138,770,45,2,213,772,167,2,1,1,1,1,-1,0,0
85,31,32,138,772,46,1,138,836,53,1,1,1,1,1,-1,0,0
86,31,59,138,772,46,1,213,772,167,2,1,1,1,1,-1,0,0
87,32,33,138,836,53,1,138,876,77,2,1,1,1,1,-1,0,0
88,32,57,138,836,53,1,211,836,171,1,1,1,1,1,-1,0,0
89,33,34,138,876,77,2,138,877,78,1,1,1,1,1,-1,0,0
90,33,44,138,876,77,2,203,880,183,1,1,1,1,1,-1,0,0
91,34,35,138,877,78,1,138,879,79,2,1,1,1,1,-1,0,0
92,34,44,138,877,78,1,203,880,183,1,1,1,1,1,-1,0,0
93,35,36,138,879,79,2,138,880,105,6,1,1,1,1,-1,0,0
94,35,44,138,879,79,2,203,880,183,1,1,1,1,1,-1,0,0
95,36,37,138,880,105,6,138,969,107,1,1,1,1,1,-1,0,0
96,36,44,138,880,105,6,203,880,183,1,1,1,1,1,-1,0,0
97,37,38,138,969,107,1,138,972,109,1,1,1,1,1,-1,0,0
98,37,42,138,969,107,1,196,984,195,1,1,1,1,1,-1,0,0
99,38,39,138,972,109,1,138,981,113,1,1,1,1,1,-1,0,0
100,38,42,138,972,109,1,196,984,195,1,1,1,1,1,-1,0,0
101,39,40,138,981,113,1,138,982,114,1,1,1,1,1,-1,0,0
102,39,42,138,981,113,1,196,984,195,1,1,1,1,1,-1,0,0
103,40,41,138,982,114,1,138,984,138,2,1,1,1,1,-1,0,0
104,40,42,138,982,114,1,196,984,195,1,1,1,1,1,-1,0,0
105,41,42,138,984,138,2,196,984,195,1,1,1,1,1,-1,0,0
106,42,43,196,984,195,1,201,984,197,1,1,1,1,1,-1,0,0
107,42,44,196,984,195,1,203,880,183,1,1,1,1,1,-1,0,0
108,42,55,196,984,195,1,210,982,195,1,1,1,1,1,-1,0,0
109,43,45,201,984,197,1,203,983,197,1,1,1,1,1,-1,0,0
110,43,46,201,984,197,1,203,984,198,1,1,1,1,1,-1,0,0
111,43,55,201,984,197,1,210,982,195,1,1,1,1,1,-1,0,0
112,44,47,203,880,183,1,204,880,188,6,1,1,1,1,-1,0,0
113,44,50,203,880,183,1,209,879,183,2,1,1,1,1,-1,0,0
114,44,55,203,880,183,1,210,982,195,1,1,1,1,1,-1,0,0
115,44,57,203,880,183,1,211,836,171,1,1,1,1,1,-1,0,0
116,45,46,203,983,197,1,203,984,198,1,1,1,1,1,-1,0,0
117,45,48,203,983,197,1,204,984,204,2,1,1,1,1,-1,0,0
118,45,55,203,983,197,1,210,982,195,1,1,1,1,1,-1,0,0
119,46,48,203,984,198,1,204,984,204,2,1,1,1,1,-1,0,0
120,47,50,204,880,188,6,209,879,183,2,1,1,1,1,-1,0,0
121,47,54,204,880,188,6,210,880,189,1,1,1,1,1,-1,0,0
122,47,55,204,880,188,6,210,982,195,1,1,1,1,1,-1,0,0
123,48,49,204,984,204,2,207,984,205,1,1,1,1,1,-1,0,0
124,48,55,204,984,204,2,210,982,195,1,1,1,1,1,-1,0,0
125,49,51,207,984,205,1,209,983,205,1,1,1,1,1,-1,0,0
126,49,52,207,984,205,1,209,984,206,1,1,1,1,1,-1,0,0
127,49,55,207,984,205,1,210,982,195,1,1,1,1,1,-1,0,0
128,50,54,209,879,183,2,210,880,189,1,1,1,1,1,-1,0,0
129,50,57,209,879,183,2,211,836,171,1,1,1,1,1,-1,0,0
130,50,60,209,879,183,2,213,878,183,1,1,1,1,1,-1,0,0
131,50,72,209,879,183,2,214,879,186,2,1,1,1,1,-1,0,0
132,51,52,209,983,205,1,209,984,206,1,1,1,1,1,-1,0,0
133,51,55,209,983,205,1,210,982,195,1,1,1,1,1,-1,0,0
134,51,56,209,983,205,1,210,984,208,1,1,1,1,1,-1,0,0
135,52,56,209,984,206,1,210,984,208,1,1,1,1,1,-1,0,0
136,53,59,210,752,151,2,213,772,167,2,1,1,1,1,-1,0,0
137,53,63,210,752,151,2,214,732,139,2,1,1,1,1,-1,0,0
138,53,64,210,752,151,2,214,750,151,2,1,1,1,1,-1,0,0
139,53,65,210,752,151,2,214,752,152,12,1,1,1,1,-1,0,0
140,54,55,210,880,189,1,210,982,195,1,1,1,1,1,-1,0,0
141,54,61,210,880,189,1,213,880,193,2,1,1,1,1,-1,0,0
142,54,72,210,880,189,1,214,879,186,2,1,1,1,1,-1,0,0
143,55,56,210,982,195,1,210,984,208,1,1,1,1,1,-1,0,0
144,55,74,210,982,195,1,214,972,195,1,1,1,1,1,-1,0,0
145,55,75,210,982,195,1,214,982,199,1,1,1,1,1,-1,0,0
146,56,58,210,984,208,1,212,984,211,2,1,1,1,1,-1,0,0
147,57,59,211,836,171,1,213,772,167,2,1,1,1,1,-1,0,0
148,57,60,211,836,171,1,213,878,183,1,1,1,1,1,-1,0,0
149,57,68,211,836,171,1,214,834,171,1,1,1,1,1,-1,0,0
150,57,69,211,836,171,1,214,836,172,1,1,1,1,1,-1,0,0
151,58,62,212,984,211,2,213,984,213,2,1,1,1,1,-1,0,0
152,58,75,212,984,211,2,214,982,199,1,1,1,1,1,-1,0,0
153,59,65,213,772,167,2,214,752,152,12,1,1,1,1,-1,0,0
154,59,66,213,772,167,2,214,770,167,2,1,1,1,1,-1,0,0
155,59,67,213,772,167,2,214,772,168,1,1,1,1,1,-1,0,0
156,59,68,213,772,167,2,214,834,171,1,1,1,1,1,-1,0,0
157,60,69,213,878,183,1,214,836,172,1,1,1,1,1,-1,0,0
158,60,70,213,878,183,1,214,877,183,1,1,1,1,1,-1,0,0
159,60,71,213,878,183,1,214,878,184,2,1,1,1,1,-1,0,0
160,60,72,213,878,183,1,214,879,186,2,1,1,1,1,-1,0,0
161,61,72,213,880,193,2,214,879,186,2,1,1,1,1,-1,0,0
162,61,73,213,880,193,2,214,880,194,6,1,1,1,1,-1,0,0
163,61,74,213,880,193,2,214,972,195,1,1,1,1,1,-1,0,0
