gap_id,obligation_code,required_for_gr_flag,certified_flag,obstruction_flag,next_flag
0,0,1,0,1,0
1,1,1,0,0,1
2,2,1,0,0,0
3,3,1,0,0,0
4,4,1,0,0,0
