word_id,word_length,first_generator_id,second_generator_id,quotient_residual_nonzero_count,unit_residual_nonzero_count,product_residual_nonzero_count,product_preserved_flag,lift_nonzero_count,target_nonzero_count
0,0,-1,-1,0,0,0,1,60,33
1,1,0,-1,0,0,131728,0,808,33
2,1,1,-1,0,0,133589,0,798,33
3,1,2,-1,0,0,118961,0,736,33
4,1,3,-1,0,0,134753,0,857,33
5,1,4,-1,0,0,85749,0,440,33
6,1,5,-1,0,0,84820,0,445,33
7,1,6,-1,0,0,83676,0,505,33
8,1,7,-1,0,0,102819,0,574,33
9,1,8,-1,0,0,82435,0,404,33
10,2,0,0,0,0,0,1,60,33
11,2,0,1,0,0,134207,0,868,33
12,2,0,2,0,0,117693,0,669,33
13,2,0,3,0,0,140315,0,813,33
14,2,0,4,0,0,130707,0,787,33
15,2,0,5,0,0,130800,0,771,33
16,2,0,6,0,0,131235,0,792,33
17,2,0,7,0,0,127102,0,790,33
18,2,0,8,0,0,127083,0,791,33
19,2,1,0,0,0,134207,0,868,33
20,2,1,1,0,0,0,1,60,33
21,2,1,2,0,0,132590,0,824,33
22,2,1,3,0,0,142733,0,877,33
23,2,1,4,0,0,131370,0,775,33
24,2,1,5,0,0,128897,0,726,33
25,2,1,6,0,0,132244,0,781,33
26,2,1,7,0,0,131799,0,784,33
27,2,1,8,0,0,132252,0,770,33
28,2,2,0,0,0,117693,0,669,33
29,2,2,1,0,0,131747,0,800,33
30,2,2,2,0,0,0,1,60,33
31,2,2,3,0,0,141740,0,856,33
32,2,2,4,0,0,131113,0,742,33
33,2,2,5,0,0,122597,0,718,33
34,2,2,6,0,0,117470,0,638,33
35,2,2,7,0,0,113483,0,610,33
36,2,2,8,0,0,117846,0,720,33
37,2,3,0,0,0,141740,0,856,33
38,2,3,1,0,0,142021,0,854,33
39,2,3,2,0,0,140315,0,813,33
40,2,3,3,0,0,0,1,60,33
41,2,3,4,0,0,135882,0,847,33
42,2,3,5,0,0,135828,0,855,33
43,2,3,6,0,0,137383,0,881,33
44,2,3,7,0,0,141268,0,869,33
45,2,3,8,0,0,141602,0,874,33
46,2,4,0,0,0,130707,0,787,33
47,2,4,1,0,0,131370,0,775,33
48,2,4,2,0,0,131113,0,742,33
49,2,4,3,0,0,135438,0,848,33
50,2,4,4,0,0,0,1,60,33
51,2,4,5,0,0,68040,0,364,33
52,2,4,6,0,0,93349,0,507,33
53,2,4,7,0,0,92310,0,541,33
54,2,4,8,0,0,96042,0,445,33
55,2,5,0,0,0,131235,0,792,33
56,2,5,1,0,0,131799,0,784,33
57,2,5,2,0,0,126900,0,742,33
58,2,5,3,0,0,135828,0,855,33
59,2,5,4,0,0,68040,0,364,33
60,2,5,5,0,0,0,1,60,33
61,2,5,6,0,0,98780,0,544,33
62,2,5,7,0,0,96119,0,570,33
63,2,5,8,0,0,86656,0,433,33
64,2,6,0,0,0,130800,0,771,33
65,2,6,1,0,0,132252,0,770,33
66,2,6,2,0,0,114133,0,626,33
67,2,6,3,0,0,137738,0,880,33
68,2,6,4,0,0,93349,0,507,33
69,2,6,5,0,0,98780,0,544,33
70,2,6,6,0,0,0,1,60,33
71,2,6,7,0,0,103158,0,476,33
72,2,6,8,0,0,102178,0,576,33
73,2,7,0,0,0,127083,0,791,33
74,2,7,1,0,0,128897,0,726,33
75,2,7,2,0,0,122108,0,714,33
76,2,7,3,0,0,141465,0,881,33
77,2,7,4,0,0,92310,0,541,33
78,2,7,5,0,0,96119,0,570,33
79,2,7,6,0,0,103158,0,476,33
80,2,7,7,0,0,0,1,60,33
81,2,7,8,0,0,94463,0,591,33
82,2,8,0,0,0,127102,0,790,33
83,2,8,1,0,0,132244,0,781,33
84,2,8,2,0,0,117470,0,640,33
85,2,8,3,0,0,141210,0,868,33
86,2,8,4,0,0,96042,0,445,33
87,2,8,5,0,0,86656,0,433,33
88,2,8,6,0,0,102178,0,576,33
89,2,8,7,0,0,94463,0,591,33
90,2,8,8,0,0,0,1,60,33
