observable_id,observable_code,value
0,0,1
1,1,1
2,2,1
3,3,1
4,4,10
5,5,60
6,6,33
7,7,9
8,8,2
9,9,91
10,10,1
11,11,9
12,12,81
13,13,182
14,14,0
15,15,0
16,16,0
17,17,0
18,18,9
19,19,9
20,20,9
21,21,9
22,22,72
23,23,0
24,24,56
25,25,56
26,26,0
27,27,142733
28,28,0
29,29,142733
30,30,0
