fingerprint_id,word_id,matrix_role_code,sha256
0,0,0,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25
1,0,1,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c
2,1,0,003cd15d4d3330d71832684a6ee7fa2f6520c63d2f485d3c99345e6ee00ae043
3,1,1,a4abdfec121ed456d03102d58a3120c018110b6402aeff3709b002730c733280
4,2,0,2766c687a32c5d7fbeb182914a1f4d22a4d557fb71e6c4a028074317d359c69a
5,2,1,d85f760db0e023f638d1586e55e4a5c017a6895c4116c96295e299b3726972cd
6,3,0,33d9b421763498766841d3c48b408765f608c3f80c59ec0df2cadb87d11e0735
7,3,1,bbf56811dfcdc9787cb309fb52592507ba77db3b86fdc509700bca4a8480c28b
8,4,0,81da7856738ac8a4d7629434adfd91ececbeb6721c32ad346b45a82092b54dde
9,4,1,ac947a03ad8219e6c76b497e0fbf75720809079552fc797ecbd3d821bf8393bb
10,5,0,ea01360984670dcf51f90792d04a80b72f23850f298b61fc12adb9ded0a7a5b3
11,5,1,df0dd802d0a6d5a35182a145f278a8057b0a17c8899f38f4f50af291da302cae
12,6,0,6e912b58b6abf9c924dbfba39946d3bc87ba2a03af7970c06e604dce84a1c7e4
13,6,1,c0d8890c072f3e20b7e5d1b34cd581bc3bd9e2ba9cefa1511bb8cff30302d945
14,7,0,b2da99a1bbf3f112a04dbf9eb8089e5d28d7fad58e40510a55fadc0c934ff0ff
15,7,1,b0f96bffe9177fedde850f5d71353d4baea804741a248f54cc6b228c8b497e9e
16,8,0,66efa8bba7bafa75135bc3ac641dac56aa6050a4beb474ceb8bb45071d6acadd
17,8,1,1bdc236ee9c39a522ab829a591795d9a6bba2ce78d5886064a65df80b83e2614
18,9,0,051ad81f142c82779effc9fd20048049d3eed05f3adcac217985943e466755eb
19,9,1,610b077496276a075455a4d6e6cc0568b171cc923a6d53d5b12a4d68ba4f712f
20,10,0,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25
21,10,1,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c
22,11,0,3d315bf8fba00f5fe0e0efe55ad4d1be2be0a77251a6bf8aba5a9d51f8e9a35d
23,11,1,783feabe1d2ed3350f58b308aee0e3f9ec314bd04039e4cbce8d16a15975ed6a
24,12,0,13c45898acc122c5a722a1e6be383335aca7225fba4fe60d3f1d217fa66d736e
25,12,1,37f2cbda3b3194293bdb5bcd91f613edb7f5216aba57a36d6a7a9c8deb495a93
26,13,0,8c0e9ca09989f035d944d100a0651c9be63f77a30de7d4bd1a613075ded57df6
27,13,1,96dd8a7b0a78e09c5232c214711aedafef02e2266a2a730e8ce5613ceeb49db1
28,14,0,5ec6bfc776e4dfc87a609f7f38e9168623b5357f38dbd87c6a65db41c2410b4c
29,14,1,907646bb7a94127208f9858f9d19a921cc7957e909dc8bcc1e5ff9e67e443d50
30,15,0,bfb404c2c1fea3ff830eee50f4f986b46f5af28d09ddd3dcd6a5c9a5cc9c4550
31,15,1,06d9fdd7257a2b268eef384d32027bba38f1c067e530dce77892887e5173178d
32,16,0,0929d013eae2ddc1817b47abb43c2801069b74d38edd51c9f33715138ba72b32
33,16,1,fefdf6ae208605a6f34b2bc7707d4b7570241c4e0b46d09a532a848ffe360776
34,17,0,8fd5f3e0cf78b023f8b55a447e5a8edc6ef212d32749b02317d2927e64318f72
35,17,1,8c044cd20dbcdb54e51e4db1877ee96c63487ef5dc0b7103e331e59d6683c81b
36,18,0,c990ab04ced19cbcf46dd4964a519e15341efffc50d2f20db252f92a890dc790
37,18,1,f538dbdb741c8a26878e5b1e91bf667ec3fd3355e6dd14e22c403e4bb0d9f07e
