observable_id,observable_code,value,scale_code
0,0,860,0
1,1,2571,0
2,2,6,0
3,3,4329004000,0
4,4,15,0
5,5,9,0
6,6,9,0
7,7,36,0
8,8,45,0
9,9,0,0
10,10,5255,0
11,11,5252,0
12,12,894,0
13,13,2695,0
14,14,6,0
15,15,6,0
16,16,2451808000,0
17,17,3708282000,0
18,18,620722000,0
19,19,984,0
