rank,p33_id,source_count,source_min_rank,source_max_rank,p25_a,p25_b,p25_c,p25_d,p25_e,p25_f,p24_a,p24_b,p24_c,p24_d,p24_e,p24_f,lift_a,lift_b,lift_c,lift_d,lift_e,lift_f,face_a,face_b,face_c,face_d,face_e,face_f,mask_a,mask_b,mask_c,mask_d,mask_e,mask_f,same_lift_flag,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p32_floor_flag,below_p31_floor_flag,below_p30_floor_flag,below_p29_floor_flag,below_p28_floor_flag,below_p27_floor_flag,below_p25_floor_flag,support_equal_flag,joint_mult_value
0,762,1,24,24,2,8,52,56,116,141,1,4,26,28,58,70,0,0,1,1,2,2,12,12,22,22,26,26,30,30,45,45,51,51,0,0,0,800182240,800254272,800511296,793818752,801801344,793818752,801801344,7982592,0,0,0,0,0,1,1,0,5567938560
1,4232,1,25,25,30,34,78,90,109,122,15,17,39,45,54,61,0,0,1,1,2,2,12,12,22,22,26,26,30,30,45,45,51,51,0,0,0,800254272,800182240,793818752,800511296,801801344,793818752,801801344,7982592,0,0,0,0,0,1,1,0,4091019264
2,962,1,8,8,4,12,16,25,43,142,2,6,8,12,21,71,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,329079232,330544832,333424256,329582400,337561024,329079232,337561024,8481792,0,0,0,0,0,1,1,0,3777232896
3,1288,1,9,9,5,38,41,42,44,96,2,19,20,21,22,48,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,330544832,329079232,329582400,333424256,337561024,329079232,337561024,8481792,0,0,0,0,0,1,1,0,3587309568
4,1113,1,12,12,4,19,32,56,125,138,2,9,16,28,62,69,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,796182720,793192928,801805824,801750656,800677632,793192928,801805824,8612896,0,0,0,0,0,1,1,0,5313134592
5,2534,1,13,13,11,14,42,78,100,133,5,7,21,39,50,66,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,793192928,796182720,801750656,801805824,800677632,793192928,801805824,8612896,0,0,0,0,0,1,1,0,5309595648
6,317,1,14,14,0,6,18,34,110,142,0,3,9,17,55,71,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,210212928,210560384,201890432,209798016,210229120,201890432,210560384,8669952,0,0,0,0,0,1,1,0,3170893824
7,765,1,15,15,2,10,22,46,96,128,1,5,11,23,48,64,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,210560384,210212928,209798016,201890432,210229120,201890432,210560384,8669952,0,0,0,0,0,1,1,0,3006922752
8,1973,1,2,2,8,14,19,48,78,133,4,7,9,24,39,66,0,0,0,1,1,2,12,12,12,22,22,26,30,30,30,45,45,51,0,0,0,799354176,803121536,808108928,808429824,807677568,799354176,808429824,9075648,0,0,0,0,0,1,1,0,5784993792
9,2575,1,3,3,11,30,32,56,94,125,5,15,16,28,47,62,0,0,0,1,1,2,12,12,12,22,22,26,30,30,30,45,45,51,0,0,0,803121536,799354176,808429824,808108928,807677568,799354176,808429824,9075648,0,0,0,0,0,1,1,0,4742184960
10,779,1,7,7,2,18,22,96,106,110,1,9,11,48,53,55,0,0,0,2,2,2,12,12,12,26,26,26,30,30,30,51,51,51,0,0,0,210499936,209596608,212648576,203387904,212834176,203387904,212834176,9446272,0,0,0,0,0,1,1,0,3227516928
11,1558,1,6,6,6,10,34,114,128,142,3,5,17,57,64,71,0,0,0,2,2,2,12,12,12,26,26,26,30,30,30,51,51,51,0,0,0,209596608,210499936,203387904,212648576,212834176,203387904,212834176,9446272,0,0,0,0,0,1,1,0,3170893824
12,967,1,8,8,4,14,16,25,43,142,2,7,8,12,21,71,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,322252224,328367808,331569024,331738048,329658560,322252224,331738048,9485824,0,0,0,0,0,1,1,0,3777232896
13,1279,1,9,9,5,32,38,41,42,96,2,16,19,20,21,48,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,328367808,322252224,331738048,331569024,329658560,322252224,331738048,9485824,0,0,0,0,0,1,1,0,3449290752
14,999,1,8,8,4,16,25,43,44,142,2,8,12,21,22,71,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,330566080,329057984,328063232,334943424,337561024,328063232,337561024,9497792,0,0,0,0,0,1,1,0,3802005504
15,1247,1,9,9,5,12,38,41,42,96,2,6,19,20,21,48,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,329057984,330566080,334943424,328063232,337561024,328063232,337561024,9497792,0,0,0,0,0,1,1,0,3562536960
16,327,1,14,14,0,6,18,44,110,142,0,3,9,22,55,71,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,210334272,207357184,209469952,212532352,216895360,207357184,216895360,9538176,0,0,0,0,0,1,1,0,3308912640
17,2259,1,15,15,10,12,22,46,96,128,5,6,11,23,48,64,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,207357184,210334272,212532352,209469952,216895360,207357184,216895360,9538176,0,0,0,0,0,1,1,0,2950299648
18,910,1,29,29,2,45,56,118,122,126,1,22,28,59,61,63,0,0,1,2,2,2,12,12,22,26,26,26,30,30,45,51,51,51,0,0,0,310140064,308826880,312121472,303810688,313392128,303810688,313392128,9581440,0,0,0,0,0,1,1,0,3484680192
19,2840,1,28,28,13,34,78,102,104,116,6,17,39,51,52,58,0,0,1,2,2,2,12,12,22,26,26,26,30,30,45,51,51,51,0,0,0,308826880,310140064,303810688,312121472,313392128,303810688,313392128,9581440,0,0,0,0,0,1,1,0,3793747968
20,29,1,21,21,0,2,14,34,40,46,0,1,7,17,20,23,0,0,0,0,0,0,12,12,12,12,12,12,30,30,30,30,30,30,1,1,1,135631232,139489536,145234176,142109696,142584576,135631232,145234176,9602944,0,0,0,0,0,1,1,0,2767454208
21,55,1,20,20,0,2,24,32,34,46,0,1,12,16,17,23,0,0,0,0,0,0,12,12,12,12,12,12,30,30,30,30,30,30,1,1,1,139489536,135631232,142109696,145234176,142584576,135631232,145234176,9602944,0,0,0,0,0,1,1,0,2516189184
22,3485,1,30,30,20,27,28,94,108,128,10,13,14,47,54,64,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,323906336,321939136,324724864,331543296,329136640,321939136,331543296,9604160,0,0,0,0,0,1,1,0,3392667648
23,3593,1,31,31,21,26,36,48,110,140,10,13,18,24,55,70,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,321939136,323906336,331543296,324724864,329136640,321939136,331543296,9604160,0,0,0,0,0,1,1,0,4073324544
24,295,1,14,14,0,6,12,18,110,142,0,3,6,9,55,71,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,208847424,208844032,214830976,207171328,216895360,207171328,216895360,9724032,0,0,0,0,0,1,1,0,3284140032
25,2425,1,15,15,10,22,44,46,96,128,5,11,22,23,48,64,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,208844032,208847424,207171328,214830976,216895360,207171328,216895360,9724032,0,0,0,0,0,1,1,0,2975072256
26,1689,1,22,22,6,12,32,108,128,140,3,6,16,54,64,70,0,0,0,2,2,2,12,12,12,26,26,26,30,30,30,51,51,51,0,0,0,203272672,196726432,206473600,204947584,205810944,196726432,206473600,9747168,0,0,0,0,0,1,1,0,3114270720
27,2961,1,23,23,14,22,44,108,110,140,7,11,22,54,55,70,0,0,0,2,2,2,12,12,12,26,26,26,30,30,30,51,51,51,0,0,0,196726432,203272672,204947584,206473600,205810944,196726432,206473600,9747168,0,0,0,0,0,1,1,0,3346661376
28,1702,1,22,22,6,12,44,108,128,140,3,6,22,54,64,70,0,0,0,2,2,2,12,12,12,26,26,26,30,30,30,51,51,51,0,0,0,205449696,203553440,204317952,206802816,213713408,203553440,213713408,10159968,0,0,0,0,0,1,1,0,3252289536
