observable_id,observable_code,value,scale_code
0,0,144,0
1,1,32,0
2,2,4448,0
3,3,4447,0
4,4,1,0
5,5,1,0
6,6,2,0
7,7,11213312,0
8,8,10515968,0
9,9,2601984,0
10,10,2447744,0
11,11,4213120,0
12,12,1815040,0
13,13,7541600,0
14,14,7982592,0
15,15,0,0
16,16,0,0
17,17,0,0
18,18,0,0
19,19,0,0
20,20,0,0
21,21,0,0
22,22,0,0
23,23,0,0
24,24,0,0
25,25,46,0
26,26,78,0
27,27,0,0
28,28,762,0
29,29,2,0
30,30,8,0
31,31,52,0
32,32,56,0
33,33,116,0
34,34,141,0
35,35,1,0
36,36,24,0
37,37,24,0
38,38,12,0
39,39,12,0
40,40,22,0
41,41,22,0
42,42,26,0
43,43,26,0
44,44,9602944,0
45,45,29,0
46,46,9602944,0
47,47,29,0
48,48,10529536,0
49,49,484,0
50,50,4,0
51,51,7735158,0
52,52,1,0
53,53,1,0
54,54,1,0
55,55,1,0
