projector_column,support_name,relation_alpha,coefficient_mod_1000003,projector_source
0,unit_top_all_39,6,1,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
0,unit_top_all_39,163,1,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
0,unit_top_all_39,227,1,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
0,unit_top_all_39,349,1,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
0,unit_top_all_39,618,1,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
0,unit_top_all_39,893,1,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,155,343751,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,156,656252,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,157,656252,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,158,343751,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,159,343751,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,160,656252,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,161,656252,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,162,343751,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,163,968753,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,164,656252,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,165,343751,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,166,31250,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,886,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,890,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,893,492189,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,895,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
