payoff_label_code,payoff_label,row_count,prover_payoff,verifier_payoff,accept_flag,tamper_flag
0,honest_accept,56,1,1,1,0
1,tamper_reject,280,0,1,0,1
2,bad_accept,0,0,0,1,1
3,bad_reject,0,0,0,0,0
