observable_id,observable_code,value
0,0,1
1,1,56
2,2,336
3,3,336
4,4,56
5,5,280
6,6,56
7,7,280
8,8,0
9,9,0
10,10,336
11,11,56
12,12,4
13,13,56
14,14,56
15,15,56
16,16,0
