game_row_id,challenge_id,transcript_id,class_id,opening_id,word_id,prover_move_code,verifier_move_code,expected_accept_flag,actual_accept_flag,prover_payoff,verifier_payoff,payoff_label_code,accepted_truth_flag,rejected_tamper_flag
0,0,0,0,5,50,0,0,1,1,1,1,0,1,0
1,0,0,0,5,50,1,0,0,0,0,1,1,0,1
2,0,0,0,5,50,2,0,0,0,0,1,1,0,1
3,0,0,0,5,50,3,0,0,0,0,1,1,0,1
4,0,0,0,5,50,4,0,0,0,0,1,1,0,1
5,0,0,0,5,50,5,0,0,0,0,1,1,0,1
6,1,1,1,10,1,0,0,1,1,1,1,0,1,0
7,1,1,1,10,1,1,0,0,0,0,1,1,0,1
8,1,1,1,10,1,2,0,0,0,0,1,1,0,1
9,1,1,1,10,1,3,0,0,0,0,1,1,0,1
10,1,1,1,10,1,4,0,0,0,0,1,1,0,1
11,1,1,1,10,1,5,0,0,0,0,1,1,0,1
12,2,2,2,11,2,0,0,1,1,1,1,0,1,0
13,2,2,2,11,2,1,0,0,0,0,1,1,0,1
14,2,2,2,11,2,2,0,0,0,0,1,1,0,1
15,2,2,2,11,2,3,0,0,0,0,1,1,0,1
16,2,2,2,11,2,4,0,0,0,0,1,1,0,1
17,2,2,2,11,2,5,0,0,0,0,1,1,0,1
18,3,3,3,12,3,0,0,1,1,1,1,0,1,0
19,3,3,3,12,3,1,0,0,0,0,1,1,0,1
20,3,3,3,12,3,2,0,0,0,0,1,1,0,1
21,3,3,3,12,3,3,0,0,0,0,1,1,0,1
22,3,3,3,12,3,4,0,0,0,0,1,1,0,1
23,3,3,3,12,3,5,0,0,0,0,1,1,0,1
24,4,4,4,13,4,0,0,1,1,1,1,0,1,0
25,4,4,4,13,4,1,0,0,0,0,1,1,0,1
26,4,4,4,13,4,2,0,0,0,0,1,1,0,1
27,4,4,4,13,4,3,0,0,0,0,1,1,0,1
28,4,4,4,13,4,4,0,0,0,0,1,1,0,1
29,4,4,4,13,4,5,0,0,0,0,1,1,0,1
30,5,5,5,14,5,0,0,1,1,1,1,0,1,0
31,5,5,5,14,5,1,0,0,0,0,1,1,0,1
32,5,5,5,14,5,2,0,0,0,0,1,1,0,1
33,5,5,5,14,5,3,0,0,0,0,1,1,0,1
34,5,5,5,14,5,4,0,0,0,0,1,1,0,1
35,5,5,5,14,5,5,0,0,0,0,1,1,0,1
36,6,6,6,15,6,0,0,1,1,1,1,0,1,0
37,6,6,6,15,6,1,0,0,0,0,1,1,0,1
38,6,6,6,15,6,2,0,0,0,0,1,1,0,1
39,6,6,6,15,6,3,0,0,0,0,1,1,0,1
40,6,6,6,15,6,4,0,0,0,0,1,1,0,1
41,6,6,6,15,6,5,0,0,0,0,1,1,0,1
42,7,7,7,16,7,0,0,1,1,1,1,0,1,0
43,7,7,7,16,7,1,0,0,0,0,1,1,0,1
44,7,7,7,16,7,2,0,0,0,0,1,1,0,1
45,7,7,7,16,7,3,0,0,0,0,1,1,0,1
