generator_id,family_id,family_code,label_count,inside_nonzero_count,leak_nonzero_count,leak_label_count,preserved_flag
0,0,0,2,678,120,2,0
0,1,1,4,263,535,4,0
0,2,2,2,406,392,2,0
0,3,3,4,470,328,4,0
0,4,4,8,229,569,7,0
1,0,0,2,646,139,2,0
1,1,1,4,265,520,4,0
1,2,2,2,432,353,2,0
1,3,3,4,455,330,4,0
1,4,4,8,228,557,7,0
2,0,0,2,631,106,2,0
2,1,1,4,255,482,4,0
2,2,2,2,387,350,2,0
2,3,3,4,456,281,3,0
2,4,4,8,227,510,7,0
3,0,0,2,694,142,2,0
3,1,1,4,286,550,4,0
3,2,2,2,436,400,2,0
3,3,3,4,496,340,4,0
3,4,4,8,244,592,8,0
4,0,0,2,352,85,1,0
4,1,1,4,162,275,3,0
4,2,2,2,248,189,2,0
4,3,3,4,249,188,2,0
4,4,4,8,138,299,4,0
5,0,0,2,380,62,1,0
5,1,1,4,173,269,3,0
5,2,2,2,242,200,2,0
5,3,3,4,290,152,2,0
5,4,4,8,158,284,4,0
6,0,0,2,475,40,1,0
6,1,1,4,201,314,3,0
6,2,2,2,277,238,2,0
6,3,3,4,377,138,2,0
6,4,4,8,191,324,4,0
7,0,0,2,511,49,1,0
7,1,1,4,217,343,3,0
7,2,2,2,296,264,2,0
7,3,3,4,380,180,2,0
7,4,4,8,199,361,3,0
8,0,0,2,354,44,1,0
8,1,1,4,160,238,3,0
8,2,2,2,227,171,2,0
8,3,3,4,269,129,2,0
8,4,4,8,149,249,3,0
