triple_id,left_symbol_id,middle_symbol_id,right_symbol_id,left_atom_id,middle_atom_id,right_atom_id,canonical_first_symbol_id,canonical_second_symbol_id,canonical_third_symbol_id,left_path_first_rule_id,left_path_second_rule_id,left_path_third_rule_id,right_path_first_rule_id,right_path_second_rule_id,right_path_third_rule_id,left_final_matches_right_final,matches_direct_sorted_normal_form,sector_union_mask,sector_coverage_count,signature_union_count,tensor_path_support_sum,tensor_path_coefficient_mass_sum,word_triple_multiplicity,left_path_swap_count,right_path_swap_count,canonical_triple_id
52,1,2,4,4,7,12,1,2,4,8,16,8,16,8,16,1,1,63,6,169,73344,136320,216,0,0,28
53,1,2,5,4,7,19,1,2,5,8,17,8,17,8,17,1,1,61,5,169,192384,282112,216,0,0,29
54,1,3,0,4,11,1,0,1,3,9,18,6,18,6,9,1,1,31,5,126,28080,75904,216,2,2,8
55,1,3,1,4,11,4,1,1,3,9,19,7,19,7,9,1,1,31,5,116,24000,76672,216,1,1,23
56,1,3,2,4,11,7,1,2,3,9,20,8,20,8,15,1,1,31,5,146,68544,127360,216,1,1,27
57,1,3,3,4,11,11,1,3,3,9,21,9,21,9,21,1,1,31,5,116,15168,54272,216,0,0,30
58,1,3,4,4,11,12,1,3,4,9,22,9,22,9,22,1,1,63,6,151,19968,63232,216,0,0,31
59,1,3,5,4,11,19,1,3,5,9,23,9,23,9,23,1,1,63,6,175,139008,209024,216,0,0,32
60,1,4,0,4,12,1,0,1,4,10,24,6,24,6,10,1,1,47,5,131,32880,84864,216,2,2,9
61,1,4,1,4,12,4,1,1,4,10,25,7,25,7,10,1,1,47,5,121,28800,85632,216,1,1,24
62,1,4,2,4,12,7,1,2,4,10,26,8,26,8,16,1,1,63,6,169,73344,136320,216,1,1,28
63,1,4,3,4,12,11,1,3,4,10,27,9,27,9,22,1,1,63,6,151,19968,63232,216,1,1,31
64,1,4,4,4,12,12,1,4,4,10,28,10,28,10,28,1,1,47,5,121,24768,72192,216,0,0,33
65,1,4,5,4,12,19,1,4,5,10,29,10,29,10,29,1,1,63,6,177,143808,217984,216,0,0,34
66,1,5,0,4,19,1,0,1,5,11,30,6,30,6,11,1,1,63,6,167,151920,230656,216,2,2,10
67,1,5,1,4,19,4,1,1,5,11,31,7,31,7,11,1,1,61,5,147,147840,231424,216,1,1,25
68,1,5,2,4,19,7,1,2,5,11,32,8,32,8,17,1,1,61,5,169,192384,282112,216,1,1,29
69,1,5,3,4,19,11,1,3,5,11,33,9,33,9,23,1,1,63,6,175,139008,209024,216,1,1,32
70,1,5,4,4,19,12,1,4,5,11,34,10,34,10,29,1,1,63,6,177,143808,217984,216,1,1,34
71,1,5,5,4,19,19,1,5,5,11,35,11,35,11,35,1,1,61,5,147,262848,363776,216,0,0,35
72,2,0,0,7,1,1,0,0,2,12,12,0,0,12,12,1,1,27,4,117,85536,148224,216,2,2,2
73,2,0,1,7,1,4,0,1,2,12,13,1,1,12,13,1,1,31,5,138,81456,148992,216,2,2,7
74,2,0,2,7,1,7,0,2,2,12,14,2,2,12,14,1,1,27,4,117,126000,199680,216,1,1,11
75,2,0,3,7,1,11,0,2,3,12,15,2,3,12,15,1,1,31,5,142,72624,126592,216,1,1,12
76,2,0,4,7,1,12,0,2,4,12,16,2,4,12,16,1,1,63,6,165,77424,135552,216,1,1,13
77,2,0,5,7,1,19,0,2,5,12,17,2,5,12,17,1,1,59,5,168,196464,281344,216,1,1,14
78,2,1,0,7,4,1,0,1,2,13,12,6,6,12,13,1,1,31,5,138,81456,148992,216,3,3,7
79,2,1,1,7,4,4,1,1,2,13,13,7,7,13,13,1,1,29,4,118,77376,149760,216,2,2,22
80,2,1,2,7,4,7,1,2,2,13,14,8,8,13,14,1,1,29,4,118,121920,200448,216,1,1,26
81,2,1,3,7,4,11,1,2,3,13,15,8,9,13,15,1,1,31,5,146,68544,127360,216,1,1,27
82,2,1,4,7,4,12,1,2,4,13,16,8,10,13,16,1,1,63,6,169,73344,136320,216,1,1,28
83,2,1,5,7,4,19,1,2,5,13,17,8,11,13,17,1,1,61,5,169,192384,282112,216,1,1,29
84,2,2,0,7,7,1,0,2,2,14,12,12,12,12,14,1,1,27,4,117,126000,199680,216,2,2,11
