auto_index,matrix_key,image_001,preserve_P1,preserve_line_set,preserve_three_zones,class,builder_assignment_mean_L2,builder_assignment_max_L2,jabber_assignment_mean_L2,jabber_assignment_max_L2,joint_assignment_mean_L2,joint_assignment_max_L2,R_equivariance_relerr,F_equivariance_relerr,R_cos2_after_action,F_cos2_after_action
0,001010100,4,False,False,False,moves_null_point,1.3343582403448286,1.4142135623730951,1.3356388246713582,1.4142135623730951,1.3349985325080933,1.4142135623730951,1.0582139903645118,0.0,0.19368059464863505,0.9999999999999999
1,001010101,5,False,False,False,moves_null_point,1.3343582403448286,1.4142135623730951,1.3356388246713582,1.4142135623730951,1.3349985325080933,1.4142135623730951,1.123296254360116,0.0,0.13623684926318247,0.9999999999999999
2,001010110,4,False,False,False,moves_null_point,1.3343582403448286,1.4142135623730951,1.3356388246713582,1.4142135623730951,1.3349985325080933,1.4142135623730951,1.0582139903645118,0.0,0.19368059464863505,0.9999999999999999
3,001010111,5,False,False,False,moves_null_point,1.3343582403448286,1.4142135623730951,1.3356388246713582,1.4142135623730951,1.3349985325080933,1.4142135623730951,1.123296254360116,0.0,0.13623684926318247,0.9999999999999999
4,001011100,6,False,False,False,moves_null_point,1.3343582403448286,1.4142135623730951,1.3356388246713582,1.4142135623730951,1.3349985325080933,1.4142135623730951,1.123296254360116,0.0,0.13623684926318247,0.9999999999999999
5,001011101,7,False,False,False,moves_null_point,1.3343582403448286,1.4142135623730951,1.3356388246713582,1.4142135623730951,1.3349985325080933,1.4142135623730951,1.123296254360116,0.0,0.13623684926318247,0.9999999999999999
6,001011110,6,False,False,False,moves_null_point,1.3343582403448286,1.4142135623730951,1.3356388246713582,1.4142135623730951,1.3349985325080933,1.4142135623730951,1.123296254360116,0.0,0.13623684926318247,0.9999999999999999
7,001011111,7,False,False,False,moves_null_point,1.3343582403448286,1.4142135623730951,1.3356388246713582,1.4142135623730951,1.3349985325080933,1.4142135623730951,1.123296254360116,0.0,0.13623684926318247,0.9999999999999999
8,001100010,4,False,False,False,moves_null_point,1.316841269567956,1.4142135623730951,1.3192976429341954,1.4142135623730951,1.3180694562510757,1.4142135623730951,1.2489748736573691,0.04123966197175345,0.04841358924769094,0.9983000133838427
9,001100011,5,False,False,False,moves_null_point,1.316841269567956,1.4142135623730951,1.3192976429341954,1.4142135623730951,1.3180694562510757,1.4142135623730951,1.273343575098782,0.04123966197175345,0.03583375925928113,0.9983000133838427
