candidate_id,candidate_type_code,a_restricted_index,b_restricted_index,b_coefficient,support_count
0,0,0,-1,0,1
1,0,1,-1,0,1
2,0,2,-1,0,1
3,0,3,-1,0,1
4,0,4,-1,0,1
5,0,5,-1,0,1
6,0,6,-1,0,1
7,0,7,-1,0,1
8,0,8,-1,0,1
9,0,9,-1,0,1
10,0,10,-1,0,1
11,0,11,-1,0,1
12,0,12,-1,0,1
13,0,13,-1,0,1
14,0,14,-1,0,1
15,0,15,-1,0,1
16,0,16,-1,0,1
17,0,17,-1,0,1
18,1,0,1,1,2
19,2,0,1,-1,2
20,1,0,2,1,2
21,2,0,2,-1,2
22,1,0,3,1,2
23,2,0,3,-1,2
24,1,0,4,1,2
25,2,0,4,-1,2
26,1,0,5,1,2
27,2,0,5,-1,2
28,1,0,6,1,2
29,2,0,6,-1,2
30,1,0,7,1,2
31,2,0,7,-1,2
32,1,0,8,1,2
33,2,0,8,-1,2
34,1,0,9,1,2
35,2,0,9,-1,2
36,1,0,10,1,2
37,2,0,10,-1,2
38,1,0,11,1,2
39,2,0,11,-1,2
40,1,0,12,1,2
41,2,0,12,-1,2
42,1,0,13,1,2
43,2,0,13,-1,2
44,1,0,14,1,2
45,2,0,14,-1,2
46,1,0,15,1,2
47,2,0,15,-1,2
48,1,0,16,1,2
49,2,0,16,-1,2
50,1,0,17,1,2
51,2,0,17,-1,2
52,1,1,2,1,2
53,2,1,2,-1,2
54,1,1,3,1,2
55,2,1,3,-1,2
56,1,1,4,1,2
57,2,1,4,-1,2
58,1,1,5,1,2
59,2,1,5,-1,2
60,1,1,6,1,2
61,2,1,6,-1,2
62,1,1,7,1,2
63,2,1,7,-1,2
64,1,1,8,1,2
65,2,1,8,-1,2
66,1,1,9,1,2
67,2,1,9,-1,2
68,1,1,10,1,2
69,2,1,10,-1,2
70,1,1,11,1,2
71,2,1,11,-1,2
72,1,1,12,1,2
73,2,1,12,-1,2
74,1,1,13,1,2
75,2,1,13,-1,2
76,1,1,14,1,2
77,2,1,14,-1,2
78,1,1,15,1,2
79,2,1,15,-1,2
80,1,1,16,1,2
81,2,1,16,-1,2
82,1,1,17,1,2
83,2,1,17,-1,2
84,1,2,3,1,2
85,2,2,3,-1,2
86,1,2,4,1,2
87,2,2,4,-1,2
88,1,2,5,1,2
89,2,2,5,-1,2
90,1,2,6,1,2
91,2,2,6,-1,2
92,1,2,7,1,2
93,2,2,7,-1,2
94,1,2,8,1,2
95,2,2,8,-1,2
96,1,2,9,1,2
97,2,2,9,-1,2
98,1,2,10,1,2
99,2,2,10,-1,2
100,1,2,11,1,2
101,2,2,11,-1,2
102,1,2,12,1,2
103,2,2,12,-1,2
104,1,2,13,1,2
105,2,2,13,-1,2
