selector_id,vector_id,candidate_id,restricted_index,source_atom,coefficient
0,0,48,0,1,1
0,0,48,16,18,1
0,1,180,5,7,1
0,1,180,12,14,1
0,2,235,8,10,1
0,2,235,9,11,-1
1,0,49,0,1,1
1,0,49,16,18,-1
1,1,181,5,7,1
1,1,181,12,14,-1
1,2,234,8,10,1
1,2,234,9,11,1
