selector_id,selector_code,candidate_a,candidate_b,candidate_c,inertia_positive,inertia_negative,coordinate_support_count,det_sign,det_abs_digit_count,det_abs_mod_1000000007,det_abs_mod_1000000009,unique_within_sign_flag,global_max_flag,sign_dual_partner_id,physical_selector_axiom_flag,selected_physical_flag
0,0,48,180,235,3,0,6,1,31,307381493,372213646,1,1,1,0,0
1,1,49,181,234,0,3,6,-1,31,307381493,372213646,1,1,0,0,0
