surface_id,surface_code,certified_flag,constructor_input_flag,audit_target_flag,exact_replay_flag,remaining_boundary_count
0,0,1,1,0,1,0
1,1,1,1,0,1,0
2,2,1,1,0,1,0
3,3,1,1,0,1,0
4,4,1,0,1,1,0
5,5,1,0,1,1,1
6,6,1,0,1,1,0
7,7,1,1,0,1,0
8,8,1,1,0,1,0
9,9,1,1,0,1,2
10,10,1,1,0,1,0
11,11,1,0,1,1,22
