hash_id,hash_code,artifact,sha256,matches_reference_flag
0,0,raw tensor stored triples,32b854858ff292cd526a271b81af60aa71b17d7f2fa12697bd7b5bcb5cb01ff6,0
1,1,raw tensor canonical sorted triples,ae44f85cd8a3f7a4ad58d88023c04534f0494a5294cdceaf90883d4471727328,1
2,2,strict tensor canonical sorted triples,ae44f85cd8a3f7a4ad58d88023c04534f0494a5294cdceaf90883d4471727328,1
3,3,raw tensor object-pair matrix,dc93676f23193afed1832befcb43d6a913a483a9ddd090b489b1a47c81c12282,1
4,4,strict tensor object-pair matrix,dc93676f23193afed1832befcb43d6a913a483a9ddd090b489b1a47c81c12282,1
5,5,raw tensor reps,82b567cdbac63ea689eaf89f9348c38d1ddf51873fbf138f189f056c8f1cfa17,1
6,6,strict tensor reps,c799028bcb57b6017f1bb4cbfc1b80416427f4aca848c97fbf5894d3737a7a33,0
7,7,raw relation encoded pairs,7c0991629653db164aff52b91afcb58e3426fde3d331012e9a7470f59f81c91f,1
8,8,strict relation encoded pairs,7c0991629653db164aff52b91afcb58e3426fde3d331012e9a7470f59f81c91f,1
9,9,raw relation offsets,b536e827fec13d10ab869b5caed9d35e008fcbedc6b05f8b64b5bae66981e216,1
10,10,strict relation offsets,b536e827fec13d10ab869b5caed9d35e008fcbedc6b05f8b64b5bae66981e216,1
11,11,raw relation object_of_point,b93902a7f846379c5fc7f7b853ef831f547fee70e7b97fb378b0f03638e10709,1
12,12,strict relation object_of_point,b93902a7f846379c5fc7f7b853ef831f547fee70e7b97fb378b0f03638e10709,1
13,13,raw q42 map,05bb7b0b6c4ec3790949321b94b36daadac42bff41501be2b7b6a7e988d24201,1
14,14,strict q42 map,05bb7b0b6c4ec3790949321b94b36daadac42bff41501be2b7b6a7e988d24201,1
15,15,raw q12 map,b4a83b5d954e59ddba4090e008e6cc1a065b2a76fdb1c077c51691e7bf1a3187,1
16,16,strict q12 map,b4a83b5d954e59ddba4090e008e6cc1a065b2a76fdb1c077c51691e7bf1a3187,1
17,17,raw q42 tensor,84f2200c802b3fdc9218c0037302bd8b2c64883ccf5f28d23182db36606c8461,1
18,18,strict q42 tensor,84f2200c802b3fdc9218c0037302bd8b2c64883ccf5f28d23182db36606c8461,1
19,19,raw q12 tensor,1530a6209b3283dfd4e2a560834f0a42e3b21697270d26dde57c31e65776da00,1
20,20,strict q12 tensor,1530a6209b3283dfd4e2a560834f0a42e3b21697270d26dde57c31e65776da00,1
21,21,strict constructor result,385fbbb6342c06ea4d87e5ef00f3f44ee7242a26be9ba843756cb51b14566339,1
22,22,long_orac certificate,3245c84bb789fc1312ba3003a15e6301ae613e5e974e2abb65bca3a922ae13df,1
