cell_edge_id,source_carrier_mask_class_id,target_carrier_mask_class_id,source_region_code,target_region_code,source_nodal_sign,target_nodal_sign,edge_partition_code,is_region_boundary,is_positive_negative_boundary,is_internal_positive_boundary,source_carrier_atom_mask,target_carrier_atom_mask
0,0,3,2,1,1,1,3,1,0,1,2,146
1,0,7,2,-1,1,-1,4,1,1,0,2,6146
2,0,11,2,1,1,1,3,1,0,1,2,524434
3,1,3,2,1,1,1,3,1,0,1,16,146
4,1,8,2,-1,1,-1,4,1,1,0,16,6160
5,1,11,2,1,1,1,3,1,0,1,16,524434
6,2,3,1,1,1,1,1,0,0,0,128,146
7,2,10,1,1,1,1,1,0,0,0,128,524416
8,2,11,1,1,1,1,1,0,0,0,128,524434
9,2,12,1,1,1,1,1,0,0,0,128,526464
10,3,7,1,-1,1,-1,5,1,1,0,146,6146
11,3,8,1,-1,1,-1,5,1,1,0,146,6160
12,3,10,1,1,1,1,1,0,0,0,146,524416
13,3,11,1,1,1,1,1,0,0,0,146,524434
14,3,12,1,1,1,1,1,0,0,0,146,526464
15,4,6,-1,-1,-1,-1,2,0,0,0,2048,6144
16,4,7,-1,-1,-1,-1,2,0,0,0,2048,6146
17,4,8,-1,-1,-1,-1,2,0,0,0,2048,6160
18,4,12,-1,1,-1,1,5,1,1,0,2048,526464
19,5,6,-1,-1,-1,-1,2,0,0,0,4096,6144
20,5,7,-1,-1,-1,-1,2,0,0,0,4096,6146
21,5,8,-1,-1,-1,-1,2,0,0,0,4096,6160
22,5,13,-1,-1,-1,-1,2,0,0,0,4096,528384
23,6,7,-1,-1,-1,-1,2,0,0,0,6144,6146
24,6,8,-1,-1,-1,-1,2,0,0,0,6144,6160
25,6,12,-1,1,-1,1,5,1,1,0,6144,526464
26,6,13,-1,-1,-1,-1,2,0,0,0,6144,528384
27,7,8,-1,-1,-1,-1,2,0,0,0,6146,6160
28,7,11,-1,1,-1,1,5,1,1,0,6146,524434
29,7,12,-1,1,-1,1,5,1,1,0,6146,526464
30,7,13,-1,-1,-1,-1,2,0,0,0,6146,528384
31,8,11,-1,1,-1,1,5,1,1,0,6160,524434
32,8,12,-1,1,-1,1,5,1,1,0,6160,526464
33,8,13,-1,-1,-1,-1,2,0,0,0,6160,528384
34,9,10,-1,1,-1,1,5,1,1,0,524288,524416
35,9,11,-1,1,-1,1,5,1,1,0,524288,524434
36,9,12,-1,1,-1,1,5,1,1,0,524288,526464
37,9,13,-1,-1,-1,-1,2,0,0,0,524288,528384
38,10,11,1,1,1,1,1,0,0,0,524416,524434
39,10,12,1,1,1,1,1,0,0,0,524416,526464
40,10,13,1,-1,1,-1,5,1,1,0,524416,528384
41,11,12,1,1,1,1,1,0,0,0,524434,526464
42,11,13,1,-1,1,-1,5,1,1,0,524434,528384
43,12,13,1,-1,1,-1,5,1,1,0,526464,528384
