summary_id,summary_code,vertex_count,signature_class_count,stationary_mass_x1e12,edge_count,boundary_edge_count,component_count
0,2,2,24,10418982028,0,6,2
1,1,5,97,615688126181,10,18,1
2,-1,7,100,373892891791,14,16,1
3,10,7,121,626107108209,14,16,1
