invariant,value,status,source
lrat_bundle_files,21,EVIDENCE_PRESENT,audit/external_analysis.json
parsed_external_events,67,EVIDENCE_PRESENT,audit/external_analysis.json
nonempty_external_routes,10,EVIDENCE_PRESENT,audit/external_analysis.json
rank_F2,4,EVIDENCE_PRESENT,audit/external_analysis.json
rank_F3,4,EVIDENCE_PRESENT,audit/external_analysis.json
rank_F5,4,EVIDENCE_PRESENT,audit/external_analysis.json
CaDiCaL_LRAT_runs_UNSAT,5/5,WITNESSED,external_solver_evidence_bundle_strong_cadical_lrat/*.stdout.txt
LRAT_proofs_verified,5/5,VERIFIED,audit/native_cadical_lrat_verification_summary.csv
cvx_proofs_audited,5,C_PUBLIC_CHECKED_PROOF_TRACE,audit/cvx_checked_proof_route_audit.json
cvx_proof_steps,62,C_PUBLIC_CHECKED_PROOF_TRACE,audit/cvx_checked_proof_route_audit.json
cvx_antecedent_references,109,C_PUBLIC_CHECKED_PROOF_TRACE,audit/cvx_checked_proof_route_audit.json
cvx_C_steps,62,C_PUBLIC_CHECKED_PROOF_TRACE,audit/cvx_checked_proof_route_audit.json
cvx_V_steps,0,NOT_DETECTED,audit/cvx_checked_proof_route_audit.json
cvx_X_steps,0,NOT_DETECTED,audit/cvx_checked_proof_route_audit.json
cvx_extension_variables,0,NOT_DETECTED,audit/cvx_checked_proof_route_audit.json
cvx_red_flags,0,NOT_DETECTED,audit/cvx_checked_proof_route_audit.json
