summary_key,summary_value,detail
sector_count,39,all source sectors
canonical_dimension_one_sectors,7,dimension-one blocks have no matrix-unit basis ambiguity
registered_support_anchored_sectors,2,nontrivial blocks fixed by promoted registered support COO
open_gl_block_normalization_sectors,30,blocks requiring an external source-sector matrix-unit basis or normalization convention
remaining_projective_gauge_dimension,940,sum of d^2 - 1 over open sectors
change_of_basis_template_terms,73594,expanded symbolic terms for all open sectors
top_support_nonzero_matrix_unit_products,7923,sum of d^3 over all sectors from support-restricted multiplication
registered_support_source_sectors,4,sectors whose current matrix-unit COO came from registered support source
