legacy_sector,raw_sector,block_dimension,matrix_unit_count,expected_matrix_unit_count,matrix_unit_product_count,coefficient_source,normalization_status,normalization_anchor,remaining_projective_gauge_dimension,change_of_basis_template_terms,change_of_basis_formula,identity_fingerprint,matrix_unit_block_sha256
0,32,10,100,100,1000,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,99,10000,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[-31250,0,250001,250001,-46875,-31250]",82e8333dbe71597a0144996d5a00627d85df2080aea1da7ae4b593274a5e8357
1,25,6,36,36,216,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,35,1296,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[-15625,0,-375001,-343751,238282,-15625]",5be0e7c3fd6fbcdebb7c153f6e2755485305562eaa1a372708514552a511cdcd
2,23,4,16,16,64,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,15,256,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,0,0,-343751,0,476564]",d5584114f6fe747b519fdc70c10fd0bbb218f046f17498ee7b56ababf2157911
3,12,5,25,25,125,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,24,625,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,0,0,208334,-31250,312501]",d4aba7d000735040cebe0480195d48d35e9f1dc15e5e5ae3adfc482f63d51104
4,28,4,16,16,64,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,15,256,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[-15625,0,0,0,476564,492189]",3f32f687537c460e87615be57ae879b83a187c5f944415067e18d643add259c1
5,21,2,4,4,8,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,3,16,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,0,312501,0,0,-253907]",28f6878577e44b5610ad9c0d65bb36e4fe95260c7cffa8830814fff0b0a298d3
6,9,2,4,4,8,REGISTERED_SUPPORT_COO,REGISTERED_SUPPORT_ANCHORED,promoted registered support matrix-unit source fixes this basis,0,0,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,0,0,0,119141,-253907]",78a0f56c495057845b37800292ad88ee96746caa24cc7bffb55b3b80c13b1d9c
7,17,1,1,1,1,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CANONICAL_DIMENSION_ONE,central idempotent is the only matrix unit,0,0,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,328126,0,0,0,0]",97c5c26ad306bb60d864fbd71e531cb8729257de04f5fed3b15edaac8ff529f7
8,18,3,9,9,27,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,8,81,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[164063,0,0,-223959,373048,0]",2b694ed015f58cfac95051b72c0bd9d64dafe584e9333f0701b137e93ceb3673
9,22,3,9,9,27,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,8,81,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,0,0,-447918,0,-417970]",576f09cc570650c9ae17aa1d48862004bf276d30dcc52d1a8b20974528c07613
