observable_id,observable_code,value
0,0,1
1,1,1
2,2,1000003
3,3,56
4,4,24
5,5,23
6,6,33
7,7,3
8,8,0
9,9,0
10,10,0
11,11,0
12,12,120
13,13,21
14,14,120
15,15,21
16,16,48
17,17,48
18,18,0
19,19,0
20,20,0
21,21,1
22,22,1
23,23,0
24,24,0
