generator_id,generator_order,plain_row_multiset_preserved_flag,signed_row_multiset_preserved_flag,pm_signed_row_multiset_preserved_flag,support_row_multiset_preserved_flag,exact_row_intersection_count,exact_active_row_intersection_count,support_row_intersection_count,support_active_row_intersection_count,missing_exact_row_count,missing_support_row_count
0,2,0,0,0,0,41,8,41,8,15,15
1,15,0,0,0,0,40,7,40,7,16,16
2,3,0,0,0,0,39,6,39,6,17,17
