word_id,start_seed,middle_seed,last_seed,atom_id,start_local_rank,middle_local_rank,last_local_rank,cycle_delta_sum,sector_coverage_count,tensor_path_support,tensor_path_coefficient_mass,internal_signature_class_count
0,0,2,10,1,2,13,3,0,5,15024,32256,69
1,0,2,10,4,4,14,2,0,5,10944,33024,70
2,0,2,10,7,9,7,9,0,5,55488,83712,97
3,0,2,10,11,5,12,4,0,5,2112,10624,53
4,0,2,10,12,3,3,11,0,6,6912,19584,58
5,0,2,10,19,13,8,12,0,6,125952,165376,97
6,0,10,2,1,2,3,13,0,5,15024,32256,69
7,0,10,2,4,4,2,14,0,5,10944,33024,70
8,0,10,2,7,9,9,7,0,5,55488,83712,97
9,0,10,2,11,5,4,12,0,5,2112,10624,53
10,0,10,2,12,3,11,3,0,6,6912,19584,58
11,0,10,2,19,13,12,8,0,6,125952,165376,97
12,2,0,10,1,13,2,3,0,5,15024,32256,69
13,2,0,10,4,14,4,2,0,5,10944,33024,70
14,2,0,10,7,7,9,9,0,5,55488,83712,97
15,2,0,10,11,12,5,4,0,5,2112,10624,53
16,2,0,10,12,3,3,11,0,6,6912,19584,58
17,2,0,10,19,8,13,12,0,6,125952,165376,97
18,2,10,0,1,13,3,2,0,5,15024,32256,69
19,2,10,0,4,14,2,4,0,5,10944,33024,70
20,2,10,0,7,7,9,9,0,5,55488,83712,97
21,2,10,0,11,12,4,5,0,5,2112,10624,53
22,2,10,0,12,3,11,3,0,6,6912,19584,58
23,2,10,0,19,8,12,13,0,6,125952,165376,97
24,10,0,2,1,3,2,13,0,5,15024,32256,69
25,10,0,2,4,2,4,14,0,5,10944,33024,70
26,10,0,2,7,9,9,7,0,5,55488,83712,97
27,10,0,2,11,4,5,12,0,5,2112,10624,53
28,10,0,2,12,11,3,3,0,6,6912,19584,58
29,10,0,2,19,12,13,8,0,6,125952,165376,97
30,10,2,0,1,3,13,2,0,5,15024,32256,69
31,10,2,0,4,2,14,4,0,5,10944,33024,70
32,10,2,0,7,9,7,9,0,5,55488,83712,97
33,10,2,0,11,4,12,5,0,5,2112,10624,53
34,10,2,0,12,11,3,3,0,6,6912,19584,58
35,10,2,0,19,12,8,13,0,6,125952,165376,97
