basis_id,source0_addr,source1_addr,target_addr,coeff,raw_row_id,raw_row_id_flag
0,118,984,107,1,141323,1
1,119,880,77,2,97924,1
2,119,983,107,1,141326,1
3,120,984,108,1,141458,1
4,127,752,33,4,30756,1
5,127,880,78,1,99770,1
6,127,984,109,1,145625,1
7,130,732,0,4,543,1
8,130,982,107,1,141280,1
9,133,731,0,4,302,1
10,133,732,1,8,798,1
11,134,751,33,4,30348,1
12,135,982,108,1,143348,1
13,136,752,34,2,31777,1
14,136,880,89,1,115813,1
15,136,982,111,1,148575,1
16,136,984,125,1,179440,1
17,137,751,34,4,31536,1
18,137,752,37,4,34767,1
19,137,772,45,2,41881,1
20,137,879,77,2,97228,1
21,137,880,95,2,123775,1
22,137,979,107,2,139655,1
23,137,981,111,1,148918,1
24,137,984,137,2,203295,1
25,138,730,0,4,425,1
26,138,732,2,4,1240,1
27,138,750,33,2,30949,1
28,138,751,35,4,32481,1
29,138,752,39,12,37164,1
30,138,770,45,2,42295,1
31,138,772,46,1,43249,1
32,138,836,53,1,51367,1
33,138,876,77,2,97410,1
34,138,877,78,1,98877,1
35,138,879,79,2,100538,1
36,138,880,105,6,138356,1
37,138,969,107,1,140552,1
38,138,972,109,1,144444,1
39,138,981,113,1,153352,1
40,138,982,114,1,154845,1
41,138,984,138,2,205579,1
42,196,984,195,1,263086,1
43,201,984,197,1,266398,1
44,203,880,183,1,247894,1
45,203,983,197,1,266399,1
46,203,984,198,1,266741,1
47,204,880,188,6,253472,1
48,204,984,204,2,275191,1
49,207,984,205,1,276212,1
50,209,879,183,2,247108,1
51,209,983,205,1,277690,1
52,209,984,206,1,279423,1
53,210,752,151,2,218948,1
54,210,880,189,1,255417,1
55,210,982,195,1,263105,1
56,210,984,208,1,283128,1
57,211,836,171,1,228290,1
58,212,984,211,2,287659,1
59,213,772,167,2,224373,1
60,213,878,183,1,247619,1
61,213,880,193,2,259913,1
62,213,984,213,2,289152,1
63,214,732,139,2,207754,1
64,214,750,151,2,218749,1
65,214,752,152,12,219272,1
66,214,770,167,2,224618,1
67,214,772,168,1,225449,1
68,214,834,171,1,228169,1
69,214,836,172,1,229344,1
70,214,877,183,1,247345,1
71,214,878,184,2,248887,1
