transition_id,edge_id,left_basis_id,right_basis_id,left_raw_row_id,right_raw_row_id,source0_boundary_count,source1_boundary_count,boundary_count,normal_form_delta_t,contact_lift_flag,endpoint_pair_raw_row_flag,operation_row_id,operation_source0_addr,operation_source1_addr,operation_target_addr,operation_coeff,operation_time_component,semantic_transition_flag,obstruction_code
0,0,0,1,141323,97924,0,119,119,1,1,1,-1,-1,-1,-1,0,0,0,0
1,1,0,2,141323,141326,103,0,103,1,1,1,-1,-1,-1,-1,0,0,0,0
2,2,0,3,141323,141458,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
3,3,1,2,97924,141326,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
4,4,1,5,97924,99770,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
5,5,1,20,97924,97228,43,0,43,1,1,1,-1,-1,-1,-1,0,0,0,0
6,6,1,32,97924,51367,0,120,120,1,1,1,-1,-1,-1,-1,0,0,0,0
7,7,2,3,141326,141458,1,1,2,1,1,1,-1,-1,-1,-1,0,0,0,0
8,8,2,8,141326,141280,102,0,102,1,1,1,-1,-1,-1,-1,0,0,0,0
9,9,3,6,141458,145625,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
10,10,3,8,141458,141280,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
11,11,4,7,30756,543,0,128,128,1,1,1,-1,-1,-1,-1,0,0,0,0
12,12,4,11,30756,30348,19,0,19,1,1,1,-1,-1,-1,-1,0,0,0,0
13,13,4,13,30756,31777,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
14,14,4,19,30756,41881,0,128,128,1,1,1,-1,-1,-1,-1,0,0,0,0
15,15,5,8,99770,141280,0,8,8,1,1,1,-1,-1,-1,-1,0,0,0,0
16,16,5,14,99770,115813,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
17,17,5,20,99770,97228,0,8,8,1,1,1,-1,-1,-1,-1,0,0,0,0
18,18,6,8,145625,141280,0,7,7,1,1,1,-1,-1,-1,-1,0,0,0,0
