pair_id,atom_i,atom_j,forward_flux_scaled,reverse_flux_scaled,symmetric_flux_scaled,abs_symmetric_flux_scaled,directed_support_count,symmetric_nonzero_flag
0,0,1,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0
2,0,3,0,0,0,0,0,0
3,0,4,0,0,0,0,0,0
4,0,5,924978992,0,924978992,924978992,1,1
5,0,6,0,0,0,0,0,0
6,0,7,0,0,0,0,0,0
7,0,8,0,0,0,0,0,0
8,0,9,0,0,0,0,0,0
9,0,10,4894010564,0,4894010564,4894010564,1,1
10,0,11,2454968259,5029584201,7484552460,7484552460,2,1
11,0,12,4234164820,0,4234164820,4234164820,1,1
12,0,13,0,0,0,0,0,0
13,0,14,0,0,0,0,0,0
14,0,15,0,0,0,0,0,0
15,0,16,0,0,0,0,0,0
16,0,17,0,0,0,0,0,0
17,0,18,0,0,0,0,0,0
18,0,19,-1627463138,5851075296,4223612158,4223612158,2,1
19,1,2,0,0,0,0,0,0
20,1,3,0,2789315864,2789315864,2789315864,1,1
21,1,4,2357260089,0,2357260089,2357260089,1,1
22,1,5,0,0,0,0,0,0
23,1,6,0,728681970,728681970,728681970,1,1
24,1,7,0,0,0,0,0,0
25,1,8,0,0,0,0,0,0
26,1,9,0,0,0,0,0,0
27,1,10,0,0,0,0,0,0
28,1,11,0,0,0,0,0,0
29,1,12,0,0,0,0,0,0
30,1,13,676506229,3678786710,4355292939,4355292939,2,1
31,1,14,0,0,0,0,0,0
32,1,15,0,0,0,0,0,0
33,1,16,0,0,0,0,0,0
34,1,17,0,0,0,0,0,0
35,1,18,8487827578,4324809352,12812636930,12812636930,2,1
36,1,19,0,0,0,0,0,0
37,2,3,0,0,0,0,0,0
38,2,4,0,718397382,718397382,718397382,1,1
39,2,5,861278014,3612851632,4474129646,4474129646,2,1
40,2,6,0,0,0,0,0,0
41,2,7,0,0,0,0,0,0
42,2,8,0,0,0,0,0,0
43,2,9,0,0,0,0,0,0
44,2,10,0,0,0,0,0,0
45,2,11,0,0,0,0,0,0
46,2,12,3469971000,0,3469971000,3469971000,1,1
47,2,13,0,0,0,0,0,0
48,2,14,0,0,0,0,0,0
49,2,15,0,0,0,0,0,0
50,2,16,0,0,0,0,0,0
51,2,17,0,0,0,0,0,0
52,2,18,0,0,0,0,0,0
53,2,19,0,0,0,0,0,0
54,3,4,0,0,0,0,0,0
55,3,5,0,0,0,0,0,0
56,3,6,0,0,0,0,0,0
57,3,7,0,0,0,0,0,0
58,3,8,0,0,0,0,0,0
59,3,9,0,0,0,0,0,0
60,3,10,0,0,0,0,0,0
61,3,11,0,0,0,0,0,0
62,3,12,0,0,0,0,0,0
63,3,13,0,0,0,0,0,0
64,3,14,0,0,0,0,0,0
65,3,15,0,0,0,0,0,0
66,3,16,0,0,0,0,0,0
67,3,17,0,0,0,0,0,0
68,3,18,-2789315864,0,-2789315864,2789315864,1,1
69,3,19,0,0,0,0,0,0
70,4,5,0,0,0,0,0,0
71,4,6,0,0,0,0,0,0
72,4,7,0,0,0,0,0,0
73,4,8,0,0,0,0,0,0
74,4,9,0,0,0,0,0,0
75,4,10,0,0,0,0,0,0
76,4,11,0,0,0,0,0,0
77,4,12,0,0,0,0,0,0
78,4,13,100028407,0,100028407,100028407,1,1
79,4,14,0,0,0,0,0,0
80,4,15,2262694106,0,2262694106,2262694106,1,1
81,4,16,0,723859806,723859806,723859806,1,1
82,4,17,0,0,0,0,0,0
83,4,18,0,0,0,0,0,0
84,4,19,0,0,0,0,0,0
85,5,6,0,0,0,0,0,0
86,5,7,0,0,0,0,0,0
87,5,8,0,0,0,0,0,0
88,5,9,0,0,0,0,0,0
89,5,10,0,0,0,0,0,0
90,5,11,0,0,0,0,0,0
91,5,12,-2721027375,0,-2721027375,2721027375,1,1
92,5,13,0,0,0,0,0,0
93,5,14,894432749,0,894432749,894432749,1,1
94,5,15,0,0,0,0,0,0
95,5,16,0,0,0,0,0,0
96,5,17,0,0,0,0,0,0
97,5,18,0,0,0,0,0,0
98,5,19,0,0,0,0,0,0
99,6,7,0,0,0,0,0,0
100,6,8,0,0,0,0,0,0
101,6,9,0,0,0,0,0,0
