metric_row_id,metric_code,value,certified_flag,obstruction_flag
0,0,1,1,0
1,1,19,1,0
2,2,1181,1,0
3,3,20,1,0
4,4,1,1,0
5,5,1,1,0
6,6,0,0,1
7,7,0,0,1
8,8,0,0,1
9,9,0,0,1
10,10,0,0,1
