shell,sample,a,b,R,C11,C10,C01,C00,B_prefix,DB_prefix,Q_prefix,identity_ok,lhs_minus_rhs
12,0,3,2,164,2839856,6710960,6679120,13134720,-67044426465999888,-25556530150457280,2620787280,True,0
12,1,3,2,184,10460568,29111520,29081490,67100592,-97949242354373264,-40284610681179840,10774891140,True,0
12,2,3,3,196,14707376,42278848,42371008,101678432,-154159229673546752,-52836150804480,59166720,True,0
12,3,5,4,147,2865796,7045284,7035672,13955292,-88004525742424064,-63983228218048512,13209412944,True,0
12,4,4,1,156,3234364,7896276,7916574,16019928,-55976618101092752,-67330530965136960,8227975470,True,0
12,5,3,3,195,6812622,16854792,17011512,36321024,-202485914309984400,-89848975196160,100144080,True,0
12,6,2,2,170,7753616,21078784,21100836,47629008,-50784020193723392,-8428405653504,7850512,True,0
12,7,4,3,210,19848576,58729728,58702080,144815616,-282123128729778320,-143843817087688128,52877011200,True,0
12,8,1,1,147,1595060,3517768,3529366,6529616,-25288570444777616,-2216412315648,1728102,True,0
12,9,4,1,149,2775304,6786492,6764688,13452944,-42727897386214400,-54551616428390400,7140374400,True,0
12,10,5,2,181,8486400,23002976,23025856,52038336,-163990778799670272,-251941166596012032,60605904576,True,0
12,11,1,1,152,1932632,4439300,4420652,8184552,-30734760105436160,3563688296448,-2871792,True,0
12,12,5,1,144,2261532,5319612,5304458,10496916,-51914792248288256,-101268216289640448,11847730732,True,0
12,13,5,1,151,2654001,6254769,6239409,12344763,-67147039973374992,-124101528053690880,13749775164,True,0
12,14,2,1,137,1920638,4463440,4456440,8612790,-16181523851691008,-4499830030989312,295343416,True,0
12,15,3,1,139,964370,2110492,2096528,3534576,-25348981917550736,-17352051617619456,795138988,True,0
12,16,1,1,173,5725648,14477448,14488968,31336928,-61371854532769808,-2201506283520,2016000,True,0
12,17,5,2,175,3055852,7150944,7223064,13864992,-167580644291444736,-225277068353273856,19498385952,True,0
12,18,1,1,153,2523336,6220740,6076150,11617998,-30669599873695376,27631579299840,-22411450,True,0
12,19,1,1,190,9666232,25912952,25739360,58930944,-106068545221165056,33173947809792,-33329664,True,0
12,20,4,3,150,3598173,8940537,8965728,18582588,-50213159896741904,-33821170872467136,8899910964,True,0
12,21,3,1,146,1171223,2502402,2439414,4435415,-33707384678449152,-21879103387336704,927412032,True,0
12,22,5,1,138,1389356,3152732,3144932,5679872,-44093276900360192,-85603704579293184,7012678880,True,0
12,23,2,1,191,12232372,34341388,34235292,80404200,-106334801911414784,-20241302975741952,728625568,True,0
12,24,3,1,148,2109848,4854820,4815752,9333516,-33379496699036672,-22487192544952320,1823858248,True,0
12,25,5,4,212,19102480,56592192,56592192,136251584,-479184543543035792,-277569766686601152,96666313920,True,0
12,26,2,1,145,1654064,3734288,3780176,6987568,-25225041870922752,-6337275783321600,222340128,True,0
12,27,3,2,126,498835,948815,945664,1608260,-16794808378010768,-7837414135549248,427581317,True,0
12,28,4,2,178,3878972,9617912,9609368,17729344,-134872984136770560,-109205208202567680,11516940000,True,0
12,29,5,3,148,1145478,2414730,2402600,4109700,-85867514170287104,-97835339731206144,6904492740,True,0
12,30,4,2,163,3832422,9449368,9381516,19284460,-76397020763103504,-72493858927095552,11853322440,True,0
12,31,4,3,141,1788632,4007108,4032278,7725814,-42947694856266752,-26523711777601536,4161786508,True,0
12,32,5,4,155,2488154,5783484,5784708,11396144,-124407703885905920,-79368653687685120,11094668160,True,0
12,33,5,4,206,12673796,34597376,34300096,80676400,-461826685120923920,-248933907454743360,60749410560,True,0
12,34,2,2,153,2577656,6178472,6179984,12020720,-35873260872369680,-577895399424,486864,True,0
12,35,2,2,174,4143732,10429056,10324824,20667840,-78571736106116096,39838090788864,-37940448,True,0
12,36,3,3,165,3710272,9098824,9036536,18596576,-76417896087789840,35710266507264,-34196112,True,0
12,37,5,1,158,5458344,14280759,14294421,31155048,-72419575523704832,-145554924057919488,31005630576,True,0
12,38,3,3,189,7440945,18968310,19236160,41870532,-159957522506279952,-153560796364800,166334850,True,0
12,39,2,2,182,10981248,30777088,30759072,72573056,-75407579169784832,6885822431232,-6846080,True,0
12,40,2,2,180,6492920,17144838,17208212,36519552,-88662490995556352,-24221920002048,23828624,True,0
12,41,2,2,137,1054024,2260224,2241936,4007248,-20649380810321936,6989782450176,-5303520,True,0
12,42,3,3,192,15482025,44962836,44982372,109422000,-121828317610853376,-11200163217408,12307680,True,0
12,43,5,5,132,829108,1761796,1763606,3001076,-85717982589068288,-1729481932800,1647100,True,0
12,44,5,4,168,2566126,5974392,5961012,11533108,-192418626666072080,-109791339121126080,11329903080,True,0
12,45,4,2,174,4165004,10351840,10312600,20784272,-115132996286907392,-97961982393655296,12691969376,True,0
12,46,2,2,164,4966336,12653936,12669096,27092568,-48046162370428928,-5794242232320,5215040,True,0
12,47,3,1,156,5672928,15007140,15012210,33080652,-32853941046502400,-25436638496833536,5591245476,True,0
12,48,1,1,131,603541,1221053,1212023,1996441,-13296072237128336,1725659873280,-1200990,True,0
12,49,5,3,176,6977551,18554028,18600684,40591860,-164782252987204608,-194931656545370112,48651546384,True,0
12,50,3,1,132,838032,1753584,1753584,3048864,-18715566512718848,-13607488208584704,709402560,True,0
12,51,5,5,215,23341872,70203916,70257572,176030304,-612745048515447056,-51269106401280,71094200,True,0
12,52,4,1,158,5451591,14293584,14290641,31163652,-50210293925410832,-67908995138623680,14893652115,True,0
12,53,1,1,114,336288,645996,645996,1000352,-5773817529565184,0,0,True,0
12,54,2,1,152,1924889,4414848,4412592,8370008,-33712482921280400,-8001871894064448,223149336,True,0
12,55,3,1,158,3132828,7492769,7390045,14977872,-47550073553289216,-30211673191612416,2672663952,True,0
12,56,3,3,202,21852171,66099474,66040317,166871502,-146835935946407936,33915236253696,-39043620,True,0
12,57,2,1,167,6227332,16339866,16355488,36107784,-48047367848001536,-10840554759979008,705746080,True,0
12,58,5,4,162,5173076,13312272,13324472,28786008,-132091075103274128,-93372200037559872,24535046992,True,0
12,59,1,1,130,455816,889008,886152,1386032,-12935439822422016,545790099456,-376992,True,0
12,60,3,2,155,2501826,5741464,5795472,11325944,-47376642251685888,-19607859423608832,2362714896,True,0
12,61,1,1,155,2477632,5799132,5790444,11427488,-33706248759997328,1660302655488,-1364016,True,0
12,62,2,1,171,3300436,8015096,8021956,14679272,-67900379453456384,-14130321319526400,222512976,True,0
12,63,4,2,168,4646868,11511936,11643930,24419472,-88713575114276864,-82766452413431808,14575064688,True,0
16,0,4,3,171,92352192,115748928,114349824,108677376,-1430389851630530396160,-931406356174805925888,203060809728,True,0
16,1,2,2,170,58357944,70172424,68945040,60879168,-701871784562565265152,270209358829191168,-436948704,True,0
16,2,3,3,215,679322432,959983488,970838784,1093201920,-5162160303483055667895,-3584700353020428288,7587851904,True,0
16,3,2,2,164,75310848,90853488,91983744,86771520,-498429806230866690048,-248826568598618112,388808064,True,0
16,4,2,2,125,4400704,4232640,4335048,3207360,-70134439094579014167,-22545185548271616,27240528,True,0
16,5,3,2,159,60338432,71504384,70785536,70821888,-494549945527402168320,-262385947899525857280,50568898560,True,0
16,6,2,2,158,36816084,39628008,39959352,38860128,-399620473710027790080,-72945589800665088,110006208,True,0
16,7,5,4,195,234895680,314014464,320173440,310528512,-6438508974248123891712,-4424588873679594848256,1063432639488,True,0
16,8,1,1,175,79553568,98603328,95857536,89876736,-691130631708088513911,302243917061947392,-486005184,True,0
16,9,4,4,169,40239552,44891136,44988416,39731200,-1907317809349477460919,-42832506252165120,78213120,True,0
16,10,2,1,136,12719232,13647120,13559376,11169792,-110048781609889668567,-38854231468571798928,1781554032,True,0
16,11,2,1,151,30520944,34664640,34168800,30606336,-244737911958130851840,-78043146096256745472,3881987712,True,0
16,12,1,1,218,942036672,1386422784,1378874880,1636429824,-3576862282587951267840,830837904170287104,-1660538880,True,0
16,13,2,1,142,27279936,30565536,30622080,28052352,-146299990872952120023,-50680346399612967024,3884716224,True,0
16,14,3,3,149,12297016,12164976,12342576,9977088,-437796400122440235831,-58648127392972800,88977600,True,0
16,15,4,4,111,3001984,2789120,2801344,2189952,-124728418243710316407,-5382242561949696,6992128,True,0
16,16,5,3,119,2069824,1882784,1847456,1368256,-222700687387823018295,-380922086968865738496,11534859968,True,0
16,17,1,1,134,5175424,4994176,4991872,3831424,-86737997123297476608,253613523861504,-313344,True,0
16,18,3,2,165,45210432,51785712,50758128,45449568,-701757341459922761472,-337846460040122357760,36303167520,True,0
16,19,4,1,168,64698848,76668768,77321952,70867008,-962838990284645789751,-1325753159707760420880,128847934560,True,0
16,20,1,1,183,149199168,186423552,188676288,190971648,-962661633416035364919,-247970622955585536,416756160,True,0
16,21,2,2,188,200559104,258972672,260568576,268271616,-1420852743244998967296,-351339268389470208,625594368,True,0
16,22,2,2,165,47088768,53528576,53460992,48998400,-559310037839880134871,14878660066541568,-23384064,True,0
16,23,4,3,149,30827385,35263188,35313408,30234546,-566492490624716289792,-406626825166960932864,66371908032,True,0
16,24,1,1,133,9114368,9315136,9455488,7534592,-79837122768325761591,-15449290495229952,18947520,True,0
16,25,1,1,102,885224,724808,725480,540336,-10070879220453605376,-73970611126272,69888,True,0
16,26,2,1,155,26459792,27955776,27955776,25404672,-308134728200896905216,-94719164503686119424,3312271872,True,0
16,27,2,2,162,32464704,35501056,35469632,32392704,-495975861174592706304,6918013345333248,-10684160,True,0
16,28,4,4,128,6606864,6504672,6482192,5220288,-308059218296577196032,9897972250705920,-14387200,True,0
16,29,3,3,189,121137920,150519808,151522048,141969408,-2323234595988240458103,-330965648639262720,622391040,True,0
16,30,2,2,172,58006016,66955264,67604992,62879744,-774329853491495239680,-143038027457888256,233902080,True,0
16,31,5,1,152,46878408,54631584,54528192,51234336,-697384386498472916736,-1626044720746033004544,196595903808,True,0
16,32,2,1,118,3729024,3535680,3540416,2782720,-37467972338882662935,-15128724442955416560,566616000,True,0
16,33,5,3,118,1213900,1038224,1035184,728312,-213269377034244587520,-364009775864683167744,6654765568,True,0
16,34,4,4,180,256112928,339489792,339068592,385269696,-2304664394458314768384,185454889323724800,-357177600,True,0
16,35,5,1,143,40014810,46751256,46519272,43442568,-447394618694354697399,-1126961799389397749376,169493138928,True,0
16,36,1,1,131,3483648,3221760,3232128,2367744,-72956800090537110039,-1141260857376768,1378944,True,0
16,37,2,2,179,172492992,219943296,220186944,231793920,-936585890806723099671,-53639260296708096,91124352,True,0
16,38,4,4,131,3577056,3084096,3087936,2664192,-368907619241609108823,-1690756825743360,2503680,True,0
16,39,2,1,181,62744208,69351648,71045760,66921408,-1043022074386891233024,-273143501778505844736,6719324544,True,0
16,40,5,5,180,104481552,127300896,127008576,125587584,-5502492723370929805056,160886079199641600,-336168000,True,0
