shell,samples,identity_failures,shell_blocks,h,unweighted_C11,unweighted_C10,unweighted_C01,unweighted_C00,unweighted_pair_asymmetry_C10_minus_C01
12,64,0,2576,6,616,672,672,616,0
16,64,0,759,8,330,176,176,77,0
