point_id,cut_edge_id,source_state_id,target_state_id,midpoint_x2_x1e12,midpoint_y2_x1e12,polygon_order,convex_hull_flag,convex_hull_order
0,2504,801,832,15586889000,143975642000,4,1,2
1,2516,805,837,-133980043000,76487151000,0,0,-1
2,2530,809,838,-44365320000,12281090000,2,1,1
3,2537,816,839,-80229411000,67498314000,1,0,-1
4,2541,818,840,-181658688000,86917768000,5,1,0
5,2545,819,841,-39173162000,87757038000,3,0,-1
