original_Romega_mode,mode_singular_value,null_point,fit_energy_fraction,WD6_scalar_energy_fraction,pair_diag_contrast_energy_fraction,pair_offdiag_chamber_energy_fraction,orthogonal_pair_chamber_energy_fraction,orthogonal_residual_not_pair_or_WD6,pair_chamber_share_of_WD6_breaking,top_quotient_left_basis,top_quotient_right_basis,top_quotient_energy_fraction_in_C
1,1659.5680259168257,011,0.36520266393792317,4.165033163437251e-05,0.0037879701661791563,0.4695494966542556,0.47333746682043476,0.5266208828479308,0.47335718230405927,uV_BS_vs_V,u0_scalar,0.35608190497407244
2,1395.8983985257423,010,0.18815782763566472,0.16558079895975006,0.3294916802619948,0.49934671559976546,0.8288383958617602,0.0055808051784896895,0.9933117488529359,u0_scalar,u0_scalar,0.48402678460767606
3,515.473300481971,011,0.10982760595284051,0.06672318450027416,0.2073815956034273,0.4814581110579081,0.6888397066613354,0.24443710883839032,0.7380872375925187,u0_scalar,uV_BS_vs_V,0.6447193969480279
4,198.3042957064743,010,0.03802891156324555,0.1638815664988101,0.31588786571896754,0.49949732247588036,0.815385188194848,0.020733245306341908,0.9752029802530213,u0_scalar,u0_scalar,0.3331668776781482
5,150.90564032172816,100,0.10242704256762727,0.16648976845614644,0.0010752127608724118,0.14346504622591483,0.14454025898678724,0.6889699725570664,0.17341149936343944,u0_scalar,u0_scalar,0.9981934371066482
6,130.25919498638805,001,0.0005830676064047381,0.14117952693230093,0.162882918969515,0.6959375540981838,0.8588204730676988,2.220446049250313e-16,0.9999999999999998,uV_BS_vs_V,uV_BS_vs_V,0.8455133310521986
