row_id,lift_id,order_id,left_alpha,left_beta,left_chi,left_delta,left_epsilon,left_c1,left_c2,right_alpha,right_beta,right_chi,right_eta,right_epsilon,right_c1,right_c2
0,0,0,167,241,435,171,183,3,2,167,241,435,263,183,1,2
1,0,1,167,263,581,183,171,2,2,167,263,581,241,171,2,3
2,0,2,171,327,263,167,183,6,2,171,327,263,435,183,1,2
3,0,3,171,435,573,183,167,2,8,171,435,573,327,167,6,6
4,0,4,183,573,241,167,171,8,3,183,573,241,581,171,3,2
5,0,5,183,581,327,171,167,2,6,183,581,327,573,167,3,8
6,0,6,223,171,435,242,264,16,1,223,171,435,183,263,2,6
7,0,7,223,183,581,263,241,6,2,223,183,581,171,242,2,16
8,0,8,241,315,183,223,263,4,6,241,315,183,435,263,2,1
9,0,9,241,435,561,263,223,1,6,241,435,561,315,223,2,4
10,0,10,263,561,171,223,242,6,16,263,561,171,581,241,2,2
11,0,11,263,581,315,241,223,2,4,263,581,315,561,223,2,6
12,0,12,315,167,263,327,435,4,1,315,167,263,183,435,2,2
13,0,13,315,183,573,435,327,2,6,315,183,573,167,327,8,4
14,0,14,327,223,183,315,435,4,2,327,223,183,263,435,6,1
15,0,15,327,263,561,435,315,1,2,327,263,561,223,315,6,4
16,0,16,435,561,167,315,327,2,4,435,561,167,573,327,4,6
17,0,17,435,573,223,327,315,6,4,435,573,223,561,315,6,2
18,0,18,561,167,241,573,581,4,3,561,167,241,171,581,3,2
19,0,19,561,171,327,581,573,2,3,561,171,327,167,573,6,4
20,0,20,573,223,171,561,581,6,2,573,223,171,242,581,16,1
21,0,21,573,241,315,581,561,3,2,573,241,315,223,561,4,6
22,0,22,581,315,167,561,573,2,4,581,315,167,327,573,4,3
23,0,23,581,327,223,573,561,3,6,581,327,223,315,561,4,2
24,1,0,45,241,467,53,107,2,1,45,241,467,271,107,2,1
25,1,1,45,271,773,107,56,1,1,45,271,773,244,53,4,1
26,1,2,53,327,271,45,107,4,1,53,327,271,467,107,2,1
27,1,3,53,467,753,107,46,1,2,53,467,753,330,46,2,2
28,1,4,107,753,241,46,53,2,2,107,753,241,773,56,1,1
29,1,5,107,773,327,56,45,1,4,107,773,327,753,46,2,2
30,1,6,215,53,467,243,272,4,1,215,53,467,107,272,1,1
31,1,7,215,107,773,272,241,1,8,215,107,773,56,243,1,4
32,1,8,241,291,107,215,272,4,1,241,291,107,468,272,1,2
33,1,9,241,467,701,271,215,2,2,241,467,701,291,215,1,4
34,1,10,271,701,53,215,243,2,4,271,701,53,779,245,1,4
35,1,11,271,773,291,244,216,4,1,271,773,291,701,215,1,2
36,1,12,291,45,271,330,468,4,2,291,45,271,107,468,1,1
37,1,13,291,107,753,468,327,1,2,291,107,753,46,327,2,4
38,1,14,327,215,107,291,468,2,1,327,215,107,272,468,1,2
39,1,15,327,271,701,467,291,2,1,327,271,701,215,291,2,2
40,1,16,467,701,45,291,330,1,4,467,701,45,754,329,1,2
41,1,17,467,753,215,330,293,2,2,467,753,215,701,291,1,1
42,1,18,701,45,241,754,773,1,4,701,45,241,53,779,2,1
43,1,19,701,53,327,779,753,1,2,701,53,327,45,754,4,1
44,1,20,753,215,53,701,779,1,1,753,215,53,243,780,4,2
45,1,21,753,241,291,773,701,1,1,753,241,291,215,701,4,1
46,1,22,773,291,45,701,754,1,1,773,291,45,330,759,4,2
47,1,23,773,327,215,753,701,2,1,773,327,215,291,701,2,1
48,2,0,33,183,657,77,109,2,1,33,183,657,196,107,2,1
49,2,1,33,195,837,107,79,1,2,33,195,837,183,77,1,2
50,2,2,77,561,195,34,107,4,2,77,561,195,657,109,2,1
51,2,3,77,657,733,109,35,1,4,77,657,733,563,35,1,2
52,2,4,107,733,183,33,77,2,2,107,733,183,837,79,2,2
53,2,5,107,837,561,79,33,2,2,107,837,561,733,33,4,2
54,2,6,139,77,657,183,196,1,2,139,77,657,109,195,1,1
55,2,7,139,107,837,198,184,2,2,139,107,837,79,184,2,1
56,2,8,183,531,107,140,195,1,2,183,531,107,658,195,1,2
57,2,9,183,657,701,196,139,2,1,183,657,701,532,140,1,2
58,2,10,195,701,77,139,183,3,1,195,701,77,837,183,1,1
59,2,11,195,837,531,183,140,1,1,195,837,531,704,140,1,3
60,2,12,531,33,195,561,657,1,2,531,33,195,107,658,1,1
61,2,13,531,107,733,658,561,1,1,531,107,733,33,561,2,1
62,2,14,561,139,107,532,661,6,1,561,139,107,198,658,2,1
63,2,15,561,195,701,657,532,2,1,561,195,701,139,532,3,6
64,2,16,657,701,33,532,562,1,1,657,701,33,737,561,2,2
65,2,17,657,733,139,563,531,1,4,657,733,139,701,532,3,1
66,2,18,701,33,183,737,837,2,3,701,33,183,77,837,2,1
67,2,19,701,77,561,837,733,1,4,701,77,561,34,733,4,2
68,2,20,733,139,77,701,837,3,1,733,139,77,183,837,1,2
69,2,21,733,183,531,837,704,2,1,733,183,531,140,702,1,2
70,2,22,837,531,33,704,736,1,2,837,531,33,561,733,1,4
71,2,23,837,561,139,733,701,4,3,837,561,139,532,701,6,1
