projector_id,projector_code,active_transition_count,raw_supported_transition_count,unique_raw_row_count,uses_left_endpoint_flag,uses_right_endpoint_flag,uses_both_endpoint_flag,transition_coupled_flag,semantic_operation_flag
0,0,29,29,16,1,0,0,0,0
1,1,29,29,20,0,1,0,0,0
