row_id,active_transition_id,transition_id,projector_code,basis_id,source0_addr,source1_addr,target_addr,coeff,raw_row_id,raw_support_flag,uses_left_endpoint_flag,uses_right_endpoint_flag,transition_coupled_flag,operation_promoted_flag
0,0,0,0,0,118,984,107,1,141323,1,1,0,0,0
1,0,0,1,1,119,880,77,2,97924,1,0,1,0,0
2,1,1,0,0,118,984,107,1,141323,1,1,0,0,0
3,1,1,1,2,119,983,107,1,141326,1,0,1,0,0
4,2,2,0,0,118,984,107,1,141323,1,1,0,0,0
5,2,2,1,3,120,984,108,1,141458,1,0,1,0,0
6,3,3,0,1,119,880,77,2,97924,1,1,0,0,0
7,3,3,1,2,119,983,107,1,141326,1,0,1,0,0
8,4,4,0,1,119,880,77,2,97924,1,1,0,0,0
9,4,4,1,5,127,880,78,1,99770,1,0,1,0,0
10,5,7,0,2,119,983,107,1,141326,1,1,0,0,0
11,5,7,1,3,120,984,108,1,141458,1,0,1,0,0
12,6,9,0,3,120,984,108,1,141458,1,1,0,0,0
13,6,9,1,6,127,984,109,1,145625,1,0,1,0,0
14,7,10,0,3,120,984,108,1,141458,1,1,0,0,0
15,7,10,1,8,130,982,107,1,141280,1,0,1,0,0
16,8,12,0,4,127,752,33,4,30756,1,1,0,0,0
17,8,12,1,11,134,751,33,4,30348,1,0,1,0,0
18,9,13,0,4,127,752,33,4,30756,1,1,0,0,0
19,9,13,1,13,136,752,34,2,31777,1,0,1,0,0
20,10,15,0,5,127,880,78,1,99770,1,1,0,0,0
21,10,15,1,8,130,982,107,1,141280,1,0,1,0,0
22,11,16,0,5,127,880,78,1,99770,1,1,0,0,0
23,11,16,1,14,136,880,89,1,115813,1,0,1,0,0
24,12,17,0,5,127,880,78,1,99770,1,1,0,0,0
25,12,17,1,20,137,879,77,2,97228,1,0,1,0,0
26,13,19,0,6,127,984,109,1,145625,1,1,0,0,0
27,13,19,1,16,136,984,125,1,179440,1,0,1,0,0
28,14,21,0,7,130,732,0,4,543,1,1,0,0,0
29,14,21,1,10,133,732,1,8,798,1,0,1,0,0
30,15,24,0,8,130,982,107,1,141280,1,1,0,0,0
31,15,24,1,14,136,880,89,1,115813,1,0,1,0,0
32,16,26,0,8,130,982,107,1,141280,1,1,0,0,0
33,16,26,1,22,137,979,107,2,139655,1,0,1,0,0
34,17,35,0,12,135,982,108,1,143348,1,1,0,0,0
35,17,35,1,15,136,982,111,1,148575,1,0,1,0,0
36,18,37,0,12,135,982,108,1,143348,1,1,0,0,0
37,18,37,1,22,137,979,107,2,139655,1,0,1,0,0
38,19,38,0,13,136,752,34,2,31777,1,1,0,0,0
39,19,38,1,17,137,751,34,4,31536,1,0,1,0,0
40,20,39,0,13,136,752,34,2,31777,1,1,0,0,0
41,20,39,1,18,137,752,37,4,34767,1,0,1,0,0
42,21,40,0,13,136,752,34,2,31777,1,1,0,0,0
43,21,40,1,19,137,772,45,2,41881,1,0,1,0,0
44,22,42,0,14,136,880,89,1,115813,1,1,0,0,0
45,22,42,1,20,137,879,77,2,97228,1,0,1,0,0
46,23,43,0,14,136,880,89,1,115813,1,1,0,0,0
47,23,43,1,21,137,880,95,2,123775,1,0,1,0,0
48,24,44,0,14,136,880,89,1,115813,1,1,0,0,0
49,24,44,1,22,137,979,107,2,139655,1,0,1,0,0
50,25,49,0,16,136,984,125,1,179440,1,1,0,0,0
51,25,49,1,24,137,984,137,2,203295,1,0,1,0,0
52,26,53,0,18,137,752,37,4,34767,1,1,0,0,0
53,26,53,1,19,137,772,45,2,41881,1,0,1,0,0
54,27,63,0,21,137,880,95,2,123775,1,1,0,0,0
55,27,63,1,22,137,979,107,2,139655,1,0,1,0,0
56,28,65,0,22,137,979,107,2,139655,1,1,0,0,0
57,28,65,1,23,137,981,111,1,148918,1,0,1,0,0
