join_id,carrier_id,relation_id,transition_id,contact_lift_flag,endpoint_pair_raw_row_flag,normal_form_delta_t,operation_row_id,operation_source0_addr,operation_source1_addr,operation_target_addr,operation_coeff,operation_time_component,semantic_transition_flag,operation_sentinel_flag,transition_ready_flag,operation_backed_flag,blocking_schema_gap_code
0,0,0,65,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
1,1,0,65,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
2,2,0,65,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
3,3,0,65,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
4,4,0,65,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
5,5,1,43,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
6,5,2,37,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
7,5,3,63,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
8,6,1,43,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
9,6,2,37,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
10,6,3,63,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
11,7,1,43,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
12,7,2,37,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
13,7,3,63,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
14,8,1,43,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
15,8,2,37,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
16,8,3,63,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
17,9,1,43,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
18,9,2,37,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
19,9,3,63,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
20,10,1,43,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
21,10,2,37,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
22,10,3,63,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
23,11,49,1,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
24,11,50,1,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
25,11,51,2,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
26,11,52,7,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
27,12,49,1,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
28,12,50,1,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
29,12,51,2,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
30,12,52,7,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
31,13,49,1,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
32,13,50,1,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
33,13,51,2,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
34,13,52,7,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
35,14,49,1,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
36,14,50,1,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
37,14,51,2,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
38,14,52,7,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
39,15,5,35,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
40,15,6,37,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
41,15,7,40,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
42,15,8,63,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
43,16,5,35,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
44,16,6,37,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
45,16,7,40,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
46,16,8,63,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
47,17,5,35,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
48,17,6,37,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
49,17,7,40,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
50,17,8,63,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
51,18,5,35,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
52,18,6,37,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
53,18,7,40,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
54,18,8,63,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
55,19,45,9,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
56,20,45,9,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
57,21,45,9,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
58,22,45,9,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
59,23,45,9,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
