observable_id,observable_code,value_x1e12,aux_id
0,0,1000000000000,-1
1,1,94000000000000,-1
2,2,3971000000000000,-1
3,3,101564000000000000,-1
4,4,105630000000000000,-1
5,5,75925000000000000,-1
6,6,16842000000000000,-1
7,7,1022000000000000,-1
8,8,15820000000000000,-1
9,9,931000000000000,-1
10,10,91000000000000,-1
11,11,189000000000000,-1
12,12,6000000000000,-1
13,13,52000000000000,-1
14,14,35000000000000,-1
15,15,3000000000000,-1
16,16,3000000000000,-1
17,17,0,-1
18,18,195000000000000,-1
19,19,4000000000000,-1
20,20,0,-1
21,21,1000000000000,-1
22,22,185000000000000,-1
23,23,30000000000000,-1
24,24,9000000000000,-1
