component_id,component_kind_code,cell_count,edge_count,left_boundary_flag,right_boundary_flag,target_cell_count,clear_cell_count,endpoint13_heavy_cell_count,min_variation,min_target_variation,max_endpoint13_path_count,left_to_right_bridge_flag
0,0,52,135,1,0,3,4,12,137,195,96,0
1,1,35,91,0,1,0,0,11,173,-1,144,0
2,2,1,0,0,0,0,0,1,169,-1,48,0
3,2,1,0,0,0,0,0,0,189,-1,0,0
4,2,1,0,0,0,0,0,1,221,-1,36,0
5,2,1,0,0,0,0,0,1,221,-1,36,0
