side_flow_id,spectral_side_code,state_count,weighted_volume,stationary_mass_x1e12,cut_edge_count,cut_weight,cut_flux_x1e12,center_x_x1e12,center_y_x1e12,center_radius_x1e12,distance_to_flow_center_x1e12
0,-1,194,1344,115127634054,6,6,1027925304,-243227692814,85597930712,257850182000,626466851000
1,1,593,10330,884872365946,6,6,1027925304,84207867964,-29913513647,89363210000,80345262000
