center_id,center_code,support_state_count,support_mass_x1e12,center_x_x1e12,center_y_x1e12,center_radius_x1e12,distance_to_flow_center_x1e12,distance_to_cut_center_x1e12,distance_to_left_boundary_x1e12,distance_to_gate_x1e12,distance_to_right_boundary_x1e12
0,0,787,1000000000000,46510986546,-16614954352,49389559000,0,294814140000,132863678000,192310698000,41209484000
1,-1,194,115127634054,-243227692814,85597930712,257850182000,626466851000,498284726000,649822843000,574403319000,635164316000
2,1,593,884872365946,84207867964,-29913513647,89363210000,80345262000,352090622000,151236139000,238247774000,83630532000
3,2,0,0,-4400616000,120940603250,121020638000,294814140000,0,219007807000,119429420000,270334365000
