transfer_edge_id,source_state_id,target_state_id,edge_weight,native_transition_flag,derived_transition_flag,derived_only_transition_flag,spectral_cut_edge_flag,boundary_path_edge_flag,undirected_stationary_flux_x1e12,source_to_target_probability_x1e12,target_to_source_probability_x1e12,source_stationary_mass_x1e12,target_stationary_mass_x1e12
1520,492,499,3,1,0,0,0,0,513962652,250000000000,250000000000,1027925304,1027925304
1521,492,573,3,1,0,0,0,0,513962652,250000000000,200000000000,1027925304,1284906630
1522,493,500,3,1,0,0,0,0,513962652,250000000000,166666666667,1027925304,1541887956
1523,493,574,3,1,0,0,0,0,513962652,250000000000,125000000000,1027925304,2055850608
1524,494,495,3,1,0,0,0,0,513962652,120000000000,200000000000,2141511051,1284906630
1525,494,499,3,1,0,0,0,0,513962652,120000000000,250000000000,2141511051,1027925304
1526,494,500,3,1,0,0,0,0,513962652,120000000000,166666666667,2141511051,1541887956
1527,494,508,3,1,0,0,0,0,513962652,120000000000,81081081082,2141511051,3169436355
1528,494,511,3,1,0,0,0,0,513962652,120000000000,96774193549,2141511051,2655473703
1529,494,558,3,1,0,0,0,0,513962652,120000000000,166666666667,2141511051,1541887956
1530,494,644,3,1,0,0,0,0,513962652,120000000000,88235294118,2141511051,2912455029
1531,494,797,1,0,1,0,0,0,171320884,40000000000,166666666667,2141511051,513962652
1532,495,509,3,1,0,0,0,0,513962652,200000000000,142857142858,1284906630,1798869282
1533,495,512,3,1,0,0,0,0,513962652,200000000000,81081081082,1284906630,3169436355
1534,495,645,3,1,0,0,0,0,513962652,200000000000,166666666667,1284906630,1541887956
1535,499,500,3,1,0,0,0,0,513962652,250000000000,166666666667,1027925304,1541887956
1536,499,646,3,1,0,0,0,0,513962652,250000000000,187500000000,1027925304,1370567072
1537,500,510,3,1,0,0,0,0,513962652,166666666667,166666666667,1541887956,1541887956
1538,500,529,3,1,0,0,0,0,513962652,166666666666,88235294118,1541887956,2912455029
1539,500,648,3,1,0,0,0,0,513962652,166666666666,125000000000,1541887956,2055850608
1540,501,502,3,1,0,0,0,0,513962652,157894736842,120000000000,1627548398,2141511051
1541,501,620,3,1,0,0,0,0,513962652,157894736842,300000000000,1627548398,856604420
1542,501,626,3,1,0,0,0,0,513962652,157894736842,157894736842,1627548398,1627548398
1543,501,649,3,1,0,0,0,0,513962652,157894736842,250000000000,1627548398,1027925304
1544,501,662,3,1,0,0,0,0,513962652,157894736842,125000000000,1627548398,2055850608
1545,501,678,3,1,0,0,0,0,513962652,157894736842,200000000000,1627548398,1284906630
1546,501,798,1,0,1,0,0,0,171320884,52631578948,142857142857,1627548398,599623094
1547,502,504,3,1,0,0,0,0,513962652,120000000000,200000000000,2141511051,1284906630
1548,502,505,3,1,0,0,0,0,513962652,120000000000,200000000000,2141511051,1284906630
1549,502,622,3,1,0,0,0,0,513962652,120000000000,187500000000,2141511051,1370567072
1550,502,628,3,1,0,0,0,0,513962652,120000000000,120000000000,2141511051,2141511050
1551,502,650,3,1,0,0,0,0,513962652,120000000000,333333333334,2141511051,770943978
1552,502,663,3,1,0,0,0,0,513962652,120000000000,125000000000,2141511051,2055850608
1553,502,679,3,1,0,0,0,0,513962652,120000000000,142857142858,2141511051,1798869282
1554,502,799,1,0,1,0,0,0,171320884,40000000000,200000000000,2141511051,428302210
1555,503,506,3,1,0,0,0,0,513962652,333333333334,88235294118,770943978,2912455029
1556,503,623,3,1,0,0,0,0,513962652,333333333333,333333333334,770943978,770943978
1557,503,651,3,1,0,0,0,0,513962652,333333333333,333333333334,770943978,770943978
1558,504,505,3,1,0,0,0,0,513962652,200000000000,200000000000,1284906630,1284906630
1559,504,624,3,1,0,0,0,0,513962652,200000000000,250000000000,1284906630,1027925304
1560,504,632,3,1,0,0,0,0,513962652,200000000000,88235294118,1284906630,2912455029
1561,504,680,3,1,0,0,0,0,513962652,200000000000,250000000000,1284906630,1027925304
1562,505,625,3,1,0,0,0,0,513962652,200000000000,250000000000,1284906630,1027925304
1563,505,635,3,1,0,0,0,0,513962652,200000000000,88235294118,1284906630,2912455029
1564,505,681,3,1,0,0,0,0,513962652,200000000000,250000000000,1284906630,1027925304
1565,506,507,3,1,0,0,0,0,513962652,88235294118,142857142857,2912455029,1798869282
1566,506,508,3,1,0,0,0,0,513962652,88235294118,81081081081,2912455029,3169436355
1567,506,511,3,1,0,0,0,0,513962652,88235294118,96774193549,2912455029,2655473703
1568,506,529,3,1,0,0,0,0,513962652,88235294118,88235294118,2912455029,2912455029
1569,506,566,3,1,0,0,0,0,513962652,88235294118,38961038961,2912455029,6595854035
1570,506,638,3,1,0,0,0,0,513962652,88235294117,166666666667,2912455029,1541887956
1571,506,652,3,1,0,0,0,0,513962652,88235294117,100000000000,2912455029,2569813261
1572,506,664,3,1,0,0,0,0,513962652,88235294117,200000000000,2912455029,1284906630
1573,506,682,3,1,0,0,0,0,513962652,88235294117,125000000000,2912455029,2055850608
1574,506,800,1,0,1,0,0,0,171320884,29411764706,142857142857,2912455029,599623094
1575,507,509,3,1,0,0,0,0,513962652,142857142857,142857142857,1798869282,1798869282
1576,507,512,3,1,0,0,0,0,513962652,142857142857,81081081081,1798869282,3169436355
1577,507,530,3,1,0,0,0,0,513962652,142857142857,166666666667,1798869282,1541887956
1578,507,567,3,1,0,0,0,0,513962652,142857142857,166666666667,1798869282,1541887956
1579,507,653,3,1,0,0,0,0,513962652,142857142857,166666666667,1798869282,1541887956
1580,508,509,3,1,0,0,0,0,513962652,81081081081,142857142857,3169436355,1798869282
1581,508,510,3,1,0,0,0,0,513962652,81081081081,166666666667,3169436355,1541887956
1582,508,511,3,1,0,0,0,0,513962652,81081081081,96774193549,3169436355,2655473703
1583,508,515,3,1,0,0,0,0,513962652,81081081081,200000000000,3169436355,1284906630
1584,508,529,3,1,0,0,0,0,513962652,81081081081,88235294118,3169436355,2912455029
1585,508,639,3,1,0,0,0,0,513962652,81081081081,166666666667,3169436355,1541887956
1586,508,644,3,1,0,0,0,0,513962652,81081081081,88235294118,3169436355,2912455029
1587,508,657,3,1,0,0,0,0,513962652,81081081081,111111111112,3169436355,2312831935
1588,508,665,3,1,0,0,0,0,513962652,81081081081,166666666667,3169436355,1541887956
1589,508,683,3,1,0,0,0,0,513962652,81081081081,111111111112,3169436355,2312831935
1590,508,801,1,0,1,0,0,0,171320884,27027027027,142857142857,3169436355,599623094
1591,509,512,3,1,0,0,0,0,513962652,142857142857,81081081081,1798869282,3169436355
1592,509,530,3,1,0,0,0,0,513962652,142857142857,166666666667,1798869282,1541887956
1593,509,645,3,1,0,0,0,0,513962652,142857142857,166666666667,1798869282,1541887956
1594,509,658,3,1,0,0,0,0,513962652,142857142857,125000000000,1798869282,2055850608
1595,510,529,3,1,0,0,0,0,513962652,166666666667,88235294118,1541887956,2912455029
1596,510,648,3,1,0,0,0,0,513962652,166666666667,125000000000,1541887956,2055850608
1597,510,660,3,1,0,0,0,0,513962652,166666666666,111111111112,1541887956,2312831935
1598,510,684,3,1,0,0,0,0,513962652,166666666666,250000000000,1541887956,1027925304
1599,511,512,3,1,0,0,0,0,513962652,96774193549,81081081081,2655473703,3169436355
1600,511,529,3,1,0,0,0,0,513962652,96774193548,88235294118,2655473703,2912455029
1601,511,626,3,1,0,0,0,0,513962652,96774193548,157894736842,2655473703,1627548398
1602,511,644,3,1,0,0,0,0,513962652,96774193548,88235294118,2655473703,2912455029
1603,511,662,3,1,0,0,0,0,513962652,96774193548,125000000000,2655473703,2055850608
1604,511,666,3,1,0,0,0,0,513962652,96774193548,76923076924,2655473703,3340757239
1605,511,685,3,1,0,0,0,0,513962652,96774193548,111111111112,2655473703,2312831935
1606,511,802,1,0,1,0,0,0,171320884,32258064516,100000000000,2655473703,856604420
1607,512,513,3,1,0,0,0,0,513962652,81081081081,333333333334,3169436355,770943978
1608,512,514,3,1,0,0,0,0,513962652,81081081081,333333333334,3169436355,770943978
1609,512,530,3,1,0,0,0,0,513962652,81081081081,166666666667,3169436355,1541887956
1610,512,628,3,1,0,0,0,0,513962652,81081081081,120000000000,3169436355,2141511050
1611,512,645,3,1,0,0,0,0,513962652,81081081081,166666666667,3169436355,1541887956
