shell,profile_id,status,support_size,nnls_linf_unscaled,exact_residual_zero,all_coefficients_nonnegative,nnls_resnorm_unscaled,nonzero_exact_coefficients,min_coefficient,chunk_dir,free_parameter_count
12,0,EXACT_ZERO_GAP_PASS,0,0.0,True,True,,,,exact_w12_0000_0500,
12,1,EXACT_RATIONAL_PASS,53,3.0517578125e-05,True,True,1.8058264518391293e-05,11.0,0.0,exact_w12_0000_0500,
12,2,EXACT_RATIONAL_PASS,21,6.103515625e-05,True,True,8.315353448084854e-07,11.0,0.0,exact_w12_0000_0500,
12,3,EXACT_RATIONAL_PASS,47,6.103515625e-05,True,True,2.789884992205529e-06,11.0,0.0,exact_w12_0000_0500,
12,4,EXACT_RATIONAL_PASS,11,0.0001220703125,True,True,1.8823435067111905e-06,11.0,10551296.0,exact_w12_0000_0500,
12,5,EXACT_RATIONAL_PASS,61,0.0001220703125,True,True,9.37477046113171e-06,11.0,0.0,exact_w12_0000_0500,
12,6,EXACT_RATIONAL_PASS,77,0.00018310546875,True,True,9.79378723504029e-05,11.0,0.0,exact_w12_0000_0500,
12,7,EXACT_RATIONAL_PASS,80,0.00030517578125,True,True,9.564123018615487e-05,11.0,0.0,exact_w12_0000_0500,
12,8,EXACT_RATIONAL_PASS,66,0.0001220703125,True,True,5.880794844156276e-05,11.0,0.0,exact_w12_0000_0500,
12,9,EXACT_RATIONAL_PASS,76,0.0001220703125,True,True,8.99177620481573e-05,11.0,0.0,exact_w12_0000_0500,
12,10,EXACT_RATIONAL_PASS,60,0.0001220703125,True,True,5.254537751799923e-05,11.0,0.0,exact_w12_0000_0500,
12,11,EXACT_RATIONAL_PASS,70,0.0001220703125,True,True,5.591875503209479e-05,11.0,0.0,exact_w12_0000_0500,
12,12,EXACT_RATIONAL_PASS,72,0.0001068115234375,True,True,5.868608153974439e-05,11.0,0.0,exact_w12_0000_0500,
12,13,EXACT_RATIONAL_PASS,82,0.00018310546875,True,True,4.47170664076354e-05,11.0,0.0,exact_w12_0000_0500,
12,14,EXACT_RATIONAL_PASS,85,0.00018310546875,True,True,4.215191437476843e-05,11.0,0.0,exact_w12_0000_0500,
12,15,EXACT_RATIONAL_PASS,77,0.00018310546875,True,True,0.0001630746616808,11.0,0.0,exact_w12_0000_0500,
12,16,EXACT_RATIONAL_PASS,84,0.0001640319824218,True,True,2.801318131929204e-05,11.0,0.0,exact_w12_0000_0500,
12,17,EXACT_RATIONAL_PASS,87,0.0001907348632812,True,True,3.0383959683633645e-05,11.0,0.0,exact_w12_0000_0500,
12,18,EXACT_RATIONAL_PASS,84,0.0001640319824218,True,True,3.1850282625983206e-05,11.0,0.0,exact_w12_0000_0500,
12,19,EXACT_RATIONAL_PASS,87,0.0001430511474609,True,True,6.285719405279107e-05,11.0,0.0,exact_w12_0000_0500,
12,20,EXACT_RATIONAL_PASS,73,0.000152587890625,True,True,8.668981584984918e-05,11.0,0.0,exact_w12_0000_0500,
