shell,status,count
12,EXACT_RATIONAL_PASS,4609
12,EXACT_ZERO_GAP_PASS,3
16,EXACT_RATIONAL_PASS,4606
16,EXACT_RATIONAL_PASS_PARAMETRIC_REPAIRED,3
16,EXACT_ZERO_GAP_PASS,3
