coeff_id,power,coefficient,expected_coefficient,match_flag
0,20,1,1,1
1,19,0,0,1
2,18,-140,-140,1
3,17,0,0,1
4,16,7760,7760,1
5,15,0,0,1
6,14,-212800,-212800,1
7,13,0,0,1
8,12,2886400,2886400,1
9,11,0,0,1
10,10,-15492096,-15492096,1
11,9,0,0,1
12,8,0,0,1
13,7,0,0,1
14,6,0,0,1
15,5,0,0,1
16,4,0,0,1
17,3,0,0,1
18,2,0,0,1
19,1,0,0,1
20,0,0,0,1
