surface_id,surface_code,row_count,column_count,has_transition_id,has_edge_id,has_basis_key,has_raw_key,has_stress_edge_id,has_source_atom,has_target_atom,has_selector_id
0,0,14,12,0,0,0,0,1,1,1,1
1,1,642,20,1,1,1,1,0,0,0,0
2,2,642,21,0,1,1,0,0,0,0,0
3,3,259,9,0,0,1,1,0,0,0,0
4,4,100,8,0,0,0,0,1,1,1,0
