class_id,route_side_code,class_kind_code,candidate_count,compatible_count,compatible_rank,unique_support_count,mapped_w24_mask,max_rank_in_class,higher_rank_flag
0,0,0,3200,0,-1,0,0,-1,0
1,1,1,55,55,0,0,0,0,0
2,1,2,15,15,1,1,1331525,1,0
