support_row_id,source_edge_id,w24_coordinate,h6_column_id,mog_row,f4_value
0,0,0,0,0,0
1,3,6,0,1,1
2,12,2,2,0,0
3,13,8,2,1,1
4,14,12,0,2,2
5,16,18,0,3,3
6,20,14,2,2,2
7,24,20,2,3,3
