pair_id,from_component_id,to_component_id,left_margin,right_margin,zeta_both_flag,exact_left_flag,exact_right_flag,exact_any_flag,identity_pair_flag
0,0,0,69,708,1,0,0,0,0
1,0,1,8,246,1,0,0,0,0
2,0,2,126,246,1,0,0,0,0
3,1,0,114,753,1,0,0,0,0
4,1,1,53,291,1,0,0,0,0
5,1,2,171,291,1,0,0,0,0
6,2,0,-25,614,0,0,0,0,0
7,2,1,-86,152,0,0,0,0,0
8,2,2,32,152,1,0,0,0,0
