candidate_id,candidate_code,support_path_count,gap_path_count,transition_count,zeta_transition_count,exact_transition_count,component_pair_count,zeta_component_pair_count,exact_component_pair_count,identity_component_count,selected_component_path_count,total_component_path_count,missing_component_path_count,closed_path_object_flag,sample_section_flag,obstruction_code
0,0,288,208,2840,0,0,9,0,0,0,288,64570080,64569792,0,0,1
1,1,288,208,2840,2840,0,9,7,0,0,288,64570080,64569792,0,1,2
2,2,288,208,2840,2840,0,9,7,0,0,288,64570080,64569792,0,1,3
