auto_index,matrix_key,image_001,preserve_P1,preserve_line_set,preserve_three_zones,class,builder_assignment_mean_L2,builder_assignment_max_L2,jabber_assignment_mean_L2,jabber_assignment_max_L2,joint_assignment_mean_L2,joint_assignment_max_L2,R_equivariance_relerr,F_equivariance_relerr,R_cos2_after_action,F_cos2_after_action
76,100010001,1,True,True,True,flag_stabilizer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999
77,100010011,1,True,True,True,flag_stabilizer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999
78,100010101,1,True,True,True,flag_stabilizer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999
79,100010111,1,True,True,True,flag_stabilizer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999
88,100110001,1,True,True,True,flag_stabilizer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999
89,100110011,1,True,True,True,flag_stabilizer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999
90,100110101,1,True,True,True,flag_stabilizer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999
91,100110111,1,True,True,True,flag_stabilizer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999
32,010100001,1,True,False,False,point_stabilizer_not_flag,0.05257161458333333,0.185546875,0.05257161458333333,0.2604166666666667,0.05257161458333333,0.2604166666666667,0.0,0.0,0.9999999999999999,0.9999999999999999
33,010100011,1,True,False,False,point_stabilizer_not_flag,0.05257161458333333,0.185546875,0.05257161458333333,0.2604166666666667,0.05257161458333333,0.2604166666666667,0.0,0.0,0.9999999999999999,0.9999999999999999
34,010100101,1,True,False,False,point_stabilizer_not_flag,0.05257161458333333,0.185546875,0.05257161458333333,0.2604166666666667,0.05257161458333333,0.2604166666666667,0.0,0.0,0.9999999999999999,0.9999999999999999
35,010100111,1,True,False,False,point_stabilizer_not_flag,0.05257161458333333,0.185546875,0.05257161458333333,0.2604166666666667,0.05257161458333333,0.2604166666666667,0.0,0.0,0.9999999999999999,0.9999999999999999
40,010110001,1,True,False,False,point_stabilizer_not_flag,0.05257161458333333,0.185546875,0.05257161458333333,0.2604166666666667,0.05257161458333333,0.2604166666666667,0.0,0.0,0.9999999999999999,0.9999999999999999
41,010110011,1,True,False,False,point_stabilizer_not_flag,0.05257161458333333,0.185546875,0.05257161458333333,0.2604166666666667,0.05257161458333333,0.2604166666666667,0.0,0.0,0.9999999999999999,0.9999999999999999
42,010110101,1,True,False,False,point_stabilizer_not_flag,0.05257161458333333,0.185546875,0.05257161458333333,0.2604166666666667,0.05257161458333333,0.2604166666666667,0.0,0.0,0.9999999999999999,0.9999999999999999
43,010110111,1,True,False,False,point_stabilizer_not_flag,0.05257161458333333,0.185546875,0.05257161458333333,0.2604166666666667,0.05257161458333333,0.2604166666666667,0.0,0.0,0.9999999999999999,0.9999999999999999
124,110010001,1,True,False,False,point_stabilizer_not_flag,0.05257161458333333,0.185546875,0.05257161458333333,0.2604166666666667,0.05257161458333333,0.2604166666666667,0.0,0.0,0.9999999999999999,0.9999999999999999
125,110010011,1,True,False,False,point_stabilizer_not_flag,0.05257161458333333,0.185546875,0.05257161458333333,0.2604166666666667,0.05257161458333333,0.2604166666666667,0.0,0.0,0.9999999999999999,0.9999999999999999
126,110010101,1,True,False,False,point_stabilizer_not_flag,0.05257161458333333,0.185546875,0.05257161458333333,0.2604166666666667,0.05257161458333333,0.2604166666666667,0.0,0.0,0.9999999999999999,0.9999999999999999
127,110010111,1,True,False,False,point_stabilizer_not_flag,0.05257161458333333,0.185546875,0.05257161458333333,0.2604166666666667,0.05257161458333333,0.2604166666666667,0.0,0.0,0.9999999999999999,0.9999999999999999
132,110100001,1,True,False,False,point_stabilizer_not_flag,0.05257161458333333,0.185546875,0.05257161458333333,0.2604166666666667,0.05257161458333333,0.2604166666666667,0.0,0.0,0.9999999999999999,0.9999999999999999
133,110100011,1,True,False,False,point_stabilizer_not_flag,0.05257161458333333,0.185546875,0.05257161458333333,0.2604166666666667,0.05257161458333333,0.2604166666666667,0.0,0.0,0.9999999999999999,0.9999999999999999
134,110100101,1,True,False,False,point_stabilizer_not_flag,0.05257161458333333,0.185546875,0.05257161458333333,0.2604166666666667,0.05257161458333333,0.2604166666666667,0.0,0.0,0.9999999999999999,0.9999999999999999
135,110100111,1,True,False,False,point_stabilizer_not_flag,0.05257161458333333,0.185546875,0.05257161458333333,0.2604166666666667,0.05257161458333333,0.2604166666666667,0.0,0.0,0.9999999999999999,0.9999999999999999
73,100001011,3,False,True,False,moves_null_point,1.2958445317008351,1.4142135623730951,1.2958445317008354,1.4142135623730951,1.2958445317008351,1.4142135623730951,0.8168639490501298,0.0,0.4440445047304181,0.9999999999999999
75,100001111,3,False,True,False,moves_null_point,1.2958445317008351,1.4142135623730951,1.2958445317008354,1.4142135623730951,1.2958445317008351,1.4142135623730951,0.8168639490501298,0.0,0.4440445047304181,0.9999999999999999
80,100011001,3,False,True,False,moves_null_point,1.2958445317008351,1.4142135623730951,1.2958445317008354,1.4142135623730951,1.2958445317008351,1.4142135623730951,0.8168639490501298,0.0,0.4440445047304181,0.9999999999999999
82,100011101,3,False,True,False,moves_null_point,1.2958445317008351,1.4142135623730951,1.2958445317008354,1.4142135623730951,1.2958445317008351,1.4142135623730951,0.8168639490501298,0.0,0.4440445047304181,0.9999999999999999
85,100101011,3,False,True,False,moves_null_point,1.2958445317008351,1.4142135623730951,1.2958445317008354,1.4142135623730951,1.2958445317008351,1.4142135623730951,0.8168639490501298,0.0,0.4440445047304181,0.9999999999999999
87,100101111,3,False,True,False,moves_null_point,1.2958445317008351,1.4142135623730951,1.2958445317008354,1.4142135623730951,1.2958445317008351,1.4142135623730951,0.8168639490501298,0.0,0.4440445047304181,0.9999999999999999
