horizon_id,sample_count,sum_state_count,component_path_count,active_owner_path_lift_digits,active_owner_path_lift_mod_1000000007,active_owner_path_lift_mod_1000000009,owner_cell_path_lift_digits,owner_cell_path_lift_mod_1000000007,owner_cell_path_lift_mod_1000000009,gap_horizon_flag,existing_sum_profunctor_flag,compressed_sum_quotient_flag,active_owner_total_equal_flag,owner_cell_total_equal_flag
0,1,3,3,2,51,51,6,749239,749239,0,1,0,1,1
1,2,5,9,4,2601,2601,12,359075194,359074072,0,1,0,1,1
2,3,7,27,6,132651,132651,18,137394135,296209920,0,1,0,1,1
3,4,9,81,7,6765201,6765201,24,43592678,22253492,0,1,0,1,1
4,5,11,243,9,345025251,345025251,30,334243415,183942531,0,1,0,1,1
5,6,13,729,11,596287682,596287648,36,200258189,916743565,0,1,0,1,1
6,7,15,2187,12,410671572,410669778,42,244217884,25715295,0,1,0,1,1
7,8,17,6561,14,944250032,944158498,47,561909437,901737111,0,1,0,1,1
8,9,19,19683,16,156751296,152082966,53,461721415,605227985,1,0,1,1,1
9,10,21,59049,18,994316047,756231203,59,688831612,406172275,1,0,1,1,1
10,11,23,177147,19,710118047,567791011,65,504530575,106409845,1,0,1,1,1
11,12,25,531441,21,216020145,957341309,71,980836334,405140421,1,0,1,1,1
12,13,27,1594323,23,17027318,824406327,77,828905666,1157696,1,0,1,1,1
13,14,29,4782969,24,868393218,44722299,83,447940838,390985541,1,0,1,1,1
14,15,31,14348907,26,288053810,280837231,89,743172984,613116830,1,0,1,1,1
15,16,33,43046721,28,690744212,322698655,94,179461478,36458031,1,0,1,1,1
