component_id,active_owner_count,owner_cell_count,support_occurrence_count,mult_occurrence_count,component_value,active_owner_weight_mod_1000000007,owner_cell_weight_mod_1000000007,support_weight_mod_1000000007,mult_weight_mod_1000000007,active_owner_weight_mod_1000000009,owner_cell_weight_mod_1000000009,support_weight_mod_1000000009,mult_weight_mod_1000000009
0,33,36560,3175424320,15292956672,0,33,36560,175424299,292956567,33,36560,175424293,292956537
1,1,96023,1601231360,9154068480,1,1,96023,601231353,154068417,1,96023,601231351,154068399
2,17,616656,11484523584,63708069888,2,17,616656,484523507,708069447,17,616656,484523485,708069321
