fiber_row_id,sample_count,sum_value,component_fiber_path_count,active_owner_fiber_lift_digits,active_owner_fiber_lift_mod_1000000007,active_owner_fiber_lift_mod_1000000009,owner_cell_fiber_lift_digits,owner_cell_fiber_lift_mod_1000000007,owner_cell_fiber_lift_mod_1000000009,long_tens_gap_flag,existing_prof_flag,active_owner_lift_positive_flag,owner_cell_lift_positive_flag,compressed_quotient_flag
0,1,0,1,2,33,33,5,36560,36560,0,1,1,1,0
1,1,1,1,1,1,1,5,96023,96023,0,1,1,1,0
2,1,2,1,2,17,17,6,616656,616656,0,1,1,1,0
3,2,0,1,4,1089,1089,10,336633593,336633591,0,1,1,1,0
4,2,1,2,2,66,66,10,21201711,21201697,0,1,1,1,0
5,2,2,3,4,1123,1123,11,310302871,310302763,0,1,1,1,0
6,2,3,2,2,34,34,12,426317350,426317114,0,1,1,1,0
7,2,4,1,3,289,289,12,264619676,264618916,0,1,1,1,0
8,3,0,1,5,35937,35937,14,324073931,323976197,0,1,1,1,0
9,3,1,3,4,3267,3267,15,701823106,701053022,0,1,1,1,0
10,3,2,6,5,55638,55638,16,648237352,641269304,0,1,1,1,0
11,3,3,7,4,3367,3367,17,536787257,509038517,0,1,1,1,0
12,3,4,6,5,28662,28662,17,891779266,774249470,0,1,1,1,0
13,3,5,3,3,867,867,18,724912048,505827152,0,1,1,1,0
14,3,6,1,4,4913,4913,18,309781203,840796294,0,1,1,1,0
15,4,0,1,7,1185921,1185921,19,142834424,569655724,0,1,1,1,0
16,4,1,4,6,143748,143748,20,203434334,664338200,0,1,1,1,0
17,4,2,10,7,2450250,2450250,21,849654770,883208091,0,1,1,1,0
18,4,3,16,6,222288,222288,22,63017974,598281489,0,1,1,1,0
19,4,4,19,7,1895059,1895059,22,821891581,525814863,0,1,1,1,0
20,4,5,16,6,114512,114512,23,184584561,449613422,0,1,1,1,0
21,4,6,10,6,650250,650250,23,861005302,129286652,0,1,1,1,0
22,4,7,4,5,19652,19652,23,480989788,127248561,0,1,1,1,0
23,4,8,1,5,83521,83521,24,436179972,74806526,0,1,1,1,0
24,5,0,1,8,39135393,39135393,23,26504886,613082006,0,1,1,1,0
25,5,1,5,7,5929605,5929605,24,948998728,255466760,0,1,1,1,0
26,5,2,15,9,101162655,101162655,26,457040287,450898237,0,1,1,1,0
27,5,3,30,8,12229470,12229470,26,338310881,594171992,0,1,1,1,0
28,5,4,45,9,104413485,104413485,27,239047574,137781451,0,1,1,1,0
29,5,5,51,7,9452851,9452851,28,317735764,53256195,0,1,1,1,0
30,5,6,45,8,53788765,53788765,28,88022970,836426640,0,1,1,1,0
31,5,7,30,7,3245470,3245470,29,474312640,511283081,0,1,1,1,0
32,5,8,15,8,13830095,13830095,29,903548024,103987064,0,1,1,1,0
33,5,9,5,6,417605,417605,29,545790868,734907255,0,1,1,1,0
34,5,10,1,7,1419857,1419857,29,994930828,892681895,0,1,1,1,0
35,6,0,1,10,291467962,291467960,28,18625377,277937634,0,1,1,1,0
36,6,1,6,9,234812358,234812358,29,471903378,837593857,0,1,1,1,0
37,6,2,21,10,9598873,9598865,30,493863427,217960452,0,1,1,1,0
38,6,3,50,9,605538450,605538450,31,780411309,637790545,0,1,1,1,0
39,6,4,90,10,177639575,177639565,32,837990548,567210588,0,1,1,1,0
40,6,5,126,9,624258558,624258558,33,917661641,955223141,0,1,1,1,0
41,6,6,141,10,559511320,559511314,33,180574350,334932828,0,1,1,1,0
42,6,7,126,9,321587742,321587742,34,763499812,455691359,0,1,1,1,0
