obstruction_id,obstruction_code,source_code,open_flag,certified_obstruction_flag,value
0,0,0,1,1,0
1,1,1,1,1,0
2,2,2,1,1,7
3,3,1,1,1,0
4,4,5,1,1,0
5,5,3,1,1,0
6,6,4,1,1,30
7,7,6,1,1,0
