selector_id,selector_code,source_code,candidate_count,formal_selector_flag,physical_selector_flag,rim_phase_key_flag,golden_phase_selected_flag,dim4_candidate_flag,open_obstruction_flag
0,0,0,543,1,0,0,0,0,1
1,1,0,63,1,0,0,0,0,1
2,2,0,5,1,0,0,0,0,1
3,3,1,1,0,0,1,0,0,1
4,4,2,63,0,0,1,0,0,1
5,5,3,6,0,0,0,0,0,1
6,6,4,39,0,0,0,0,0,1
7,7,5,0,0,0,0,0,0,1
8,8,6,0,0,0,0,0,0,1
