target_path_id,bounded_candidate_id,bounded_rank_order,walk_length,carrier_0_id,carrier_1_id,carrier_2_id,carrier_3_id,carrier_4_id,carrier_5_id,carrier_6_id,carrier_7_id,cell_edge_0_id,cell_edge_1_id,cell_edge_2_id,cell_edge_3_id,cell_edge_4_id,cell_edge_5_id,cell_edge_6_id,selected_atom_0_id,selected_atom_1_id,selected_atom_2_id,selected_atom_3_id,selected_atom_4_id,selected_atom_5_id,selected_atom_6_id
0,110,111,7,12,11,8,6,13,10,11,12,41,31,24,26,40,38,41,7,4,11,12,19,7,19
1,114,115,7,12,11,8,6,13,11,10,12,41,31,24,26,42,38,39,7,4,11,12,19,7,19
2,116,117,7,12,11,8,7,13,10,11,12,41,31,27,30,40,38,41,7,4,11,12,19,7,19
3,120,121,7,12,11,8,7,13,11,10,12,41,31,27,30,42,38,39,7,4,11,12,19,7,19
