label,k,F,K,t_norm,theta,a,b,excess_over_candidate,split_profile_size
prefix_k23,23,1.4448548592664323,1.202021155914667,3.3610958544968006,0.20556892690973716,0.6860808189499489,0.6860808043531266,2.220446049250313e-16,8
prefix_k18,18,1.444854859266432,1.202021155914667,3.361095854473185,0.5235987653781232,0.6860808223852303,0.6860808061920184,0.0,21
random_k6_0,6,1.444854859266432,1.202021155914667,3.361095854473185,1.0471975423817348,0.6860808288118655,0.6860808148452813,0.0,21
random_k6_1,6,1.444854859266432,1.202021155914667,3.361095854473185,1.0471975423817348,0.6860808288118655,0.6860808148452813,0.0,21
prefix_k6,6,1.4448548592664319,1.202021155914667,3.3610958544993927,1.0471975423817395,0.6860808288172097,0.6860808148506329,-2.220446049250313e-16,21
prefix_k11,11,1.4448548592664319,1.202021155914667,3.361095854427432,0.8271131984285293,0.6860808244989074,0.6860808131057026,-2.220446049250313e-16,28
prefix_k15,15,1.4448548592664319,1.202021155914667,3.3610958544993927,0.6590580366915951,0.686080817882486,0.6860808191085953,-2.220446049250313e-16,22
random_k13_0,13,1.4448548592664319,1.202021155914667,3.361095854427432,0.7436831205520275,0.6860808180373524,0.6860808186705939,-2.220446049250313e-16,28
random_k18_0,18,1.4448548592664319,1.202021155914667,3.3610958544993927,0.5235987858456872,0.6860808142831949,0.6860808305195235,-2.220446049250313e-16,21
random_k18_1,18,1.4448548592664319,1.202021155914667,3.3610958544993927,0.5235987858456872,0.6860808142831949,0.6860808305195235,-2.220446049250313e-16,21
prefix_k0,0,1.4448548592664314,1.2020211559146667,3.3610959043138733,0.0,0.0,0.6860808285106154,-6.661338147750939e-16,5
prefix_k1,1,1.4448548592664314,1.2020211559146667,3.3610959043138733,1.3652273961750827,0.6860808267293634,0.686080828588061,-6.661338147750939e-16,8
prefix_k4,4,1.4448548592664314,1.2020211559146667,3.3610958544302707,1.1502619862389514,0.6860808264160353,0.686080816710594,-6.661338147750939e-16,17
prefix_k7,7,1.4448548592664314,1.2020211559146667,3.3610959043138733,1.0002858790862708,0.6860808284715274,0.6860808285267103,-6.661338147750939e-16,20
prefix_k24,24,1.4448548592664314,1.2020211559146667,3.3610959043138733,0.0,0.6860808285106154,0.0,-6.661338147750939e-16,5
codeword_support_w24,24,1.4448548592664314,1.2020211559146667,3.3610959043138733,0.0,0.6860808285106154,0.0,-6.661338147750939e-16,5
random_k11_0,11,1.4448548592664314,1.2020211559146667,3.3610959043138733,0.8271132062428932,0.6860808288536031,0.6860808282203948,-6.661338147750939e-16,28
random_k11_1,11,1.4448548592664314,1.2020211559146667,3.3610959043138733,0.8271132062428932,0.6860808288536031,0.6860808282203948,-6.661338147750939e-16,28
random_k17_0,17,1.4448548592664314,1.2020211559146667,3.3610958544302707,0.5705104294019157,0.6860808264038003,0.6860807987159161,-6.661338147750939e-16,24
random_k17_1,17,1.4448548592664314,1.2020211559146667,3.3610958544302707,0.5705104294019157,0.6860808264038003,0.6860807987159161,-6.661338147750939e-16,24
prefix_k2,2,1.444854859266431,1.2020211559146665,3.3610958544742644,1.2779535548654586,0.6860808187942049,0.686080818295597,-1.1102230246251565e-15,11
prefix_k3,3,1.444854859266431,1.2020211559146665,3.3610958544742644,1.209429184679448,0.6860808513896397,0.686080813615363,-1.1102230246251565e-15,14
prefix_k5,5,1.444854859266431,1.2020211559146665,3.3610958544742644,1.0968114550161219,0.6860808197913593,0.6860808179544604,-1.1102230246251565e-15,20
prefix_k8,8,1.444854859266431,1.2020211559146665,3.3610958544742644,0.9553166098982991,0.6860808263187497,0.6860808143463466,-1.1102230246251565e-15,13
prefix_k9,9,1.444854859266431,1.2020211559146665,3.3610958544742644,0.9117382776319523,0.6860808301496708,0.6860808112496337,-1.1102230246251565e-15,22
prefix_k10,10,1.444854859266431,1.2020211559146665,3.3610958544742644,0.8691221919050004,0.6860808273497864,0.6860808118995485,-1.1102230246251565e-15,25
prefix_k12,12,1.444854859266431,1.2020211559146665,3.3610958544742644,0.7853981753801189,0.6860808101160673,0.6860808265582281,-1.1102230246251565e-15,23
prefix_k13,13,1.444854859266431,1.2020211559146665,3.3610958544742644,0.7436831416445223,0.6860808047353844,0.6860808344119587,-1.1102230246251565e-15,28
prefix_k14,14,1.444854859266431,1.2020211559146665,3.3610958544742644,0.7016741362172787,0.6860808111298735,0.6860808284273313,-1.1102230246251565e-15,25
prefix_k16,16,1.444854859266431,1.2020211559146665,3.3610958544742644,0.6154797268675872,0.6860808095090963,0.68608083599325,-1.1102230246251565e-15,13
prefix_k17,17,1.444854859266431,1.2020211559146665,3.3610958544742644,0.5705104311915719,0.6860808256248835,0.6860808006383604,-1.1102230246251565e-15,20
prefix_k19,19,1.444854859266431,1.2020211559146665,3.3610958544742644,0.4739848633179074,0.6860808209322798,0.6860808084756452,-1.1102230246251565e-15,20
prefix_k20,20,1.444854859266431,1.2020211559146665,3.3610958544742644,0.42053431914327327,0.6860808232895099,0.6860807935753354,-1.1102230246251565e-15,17
prefix_k21,21,1.444854859266431,1.2020211559146665,3.3610958544742644,0.36136713522992864,0.686080815400876,0.6860808388910493,-1.1102230246251565e-15,14
prefix_k22,22,1.444854859266431,1.2020211559146665,3.3610958544742644,0.2928427666337811,0.6860808193910626,0.6860808067440824,-1.1102230246251565e-15,11
codeword_support_w8,8,1.444854859266431,1.2020211559146665,3.3610958544742644,0.9553166098982991,0.6860808263187497,0.6860808143463466,-1.1102230246251565e-15,13
codeword_support_w12,12,1.444854859266431,1.2020211559146665,3.3610958544742644,0.7853981753801189,0.6860808101160673,0.6860808265582281,-1.1102230246251565e-15,13
codeword_support_w16,16,1.444854859266431,1.2020211559146665,3.3610958544742644,0.6154797268675872,0.6860808095090963,0.68608083599325,-1.1102230246251565e-15,13
random_k7_0,7,1.444854859266431,1.2020211559146665,3.3610958544742644,1.0002858928250973,0.6860808036087849,0.6860808244017674,-1.1102230246251565e-15,24
random_k7_1,7,1.444854859266431,1.2020211559146665,3.3610958544742644,1.0002858928250973,0.6860808036087849,0.6860808244017674,-1.1102230246251565e-15,24
random_k8_0,8,1.444854859266431,1.2020211559146665,3.3610958544742644,0.9553166080450014,0.6860808281169393,0.6860808134472518,-1.1102230246251565e-15,25
random_k8_1,8,1.444854859266431,1.2020211559146665,3.3610958544742644,0.9553166080450014,0.6860808281169393,0.6860808134472518,-1.1102230246251565e-15,25
random_k9_0,9,1.444854859266431,1.2020211559146665,3.3610958544742644,0.9117383039595295,0.6860808068306372,0.6860808252410538,-1.1102230246251565e-15,26
random_k9_1,9,1.444854859266431,1.2020211559146665,3.3610958544742644,0.9117383039595295,0.6860808068306372,0.6860808252410538,-1.1102230246251565e-15,26
random_k10_0,10,1.444854859266431,1.2020211559146665,3.3610958544742644,0.8691221906347034,0.6860808283809903,0.6860808111629743,-1.1102230246251565e-15,27
random_k10_1,10,1.444854859266431,1.2020211559146665,3.3610958544742644,0.8691221906347034,0.6860808283809903,0.6860808111629743,-1.1102230246251565e-15,27
random_k12_0,12,1.444854859266431,1.2020211559146665,3.3610958544742644,0.7853981753801189,0.6860808101160673,0.6860808265582281,-1.1102230246251565e-15,25
random_k12_1,12,1.444854859266431,1.2020211559146665,3.3610958544742644,0.7853981753801189,0.6860808101160673,0.6860808265582281,-1.1102230246251565e-15,25
random_k13_1,13,1.444854859266431,1.2020211559146665,3.3610958544742644,0.7436831416445223,0.6860808047353844,0.6860808344119587,-1.1102230246251565e-15,28
random_k14_0,14,1.444854859266431,1.2020211559146665,3.3610958544742644,0.701674133676544,0.6860808126031037,0.686080826364809,-1.1102230246251565e-15,27
random_k14_1,14,1.444854859266431,1.2020211559146665,3.3610958544742644,0.701674133676544,0.6860808126031037,0.686080826364809,-1.1102230246251565e-15,27
random_k15_0,15,1.444854859266431,1.2020211559146665,3.3610958544742644,0.6590580486477775,0.6860808115234118,0.6860808296933738,-1.1102230246251565e-15,26
random_k15_1,15,1.444854859266431,1.2020211559146665,3.3610958544742644,0.6590580486477775,0.6860808115234118,0.6860808296933738,-1.1102230246251565e-15,26
random_k16_0,16,1.444854859266431,1.2020211559146665,3.3610958544742644,0.6154797231716744,0.6860808113021034,0.6860808324072359,-1.1102230246251565e-15,25
random_k16_1,16,1.444854859266431,1.2020211559146665,3.3610958544742644,0.6154797231716744,0.6860808113021034,0.6860808324072359,-1.1102230246251565e-15,25
