pivot_id,pivot_type,positive_increment,negative_increment,zero_increment,pivot_sign,remaining_dimension_before,remaining_dimension_after
0,2,1,1,0,1,18,16
1,1,1,0,0,1,16,15
2,1,0,1,0,-1,15,14
3,1,0,1,0,-1,14,13
4,1,1,0,0,1,13,12
5,1,0,1,0,-1,12,11
6,1,1,0,0,1,11,10
7,1,0,1,0,-1,10,9
8,1,1,0,0,1,9,8
9,1,0,1,0,-1,8,7
10,1,1,0,0,1,7,6
11,1,0,1,0,-1,6,5
12,1,1,0,0,1,5,4
13,1,1,0,0,1,4,3
14,1,1,0,0,1,3,2
15,1,0,1,0,-1,2,1
16,1,1,0,0,1,1,0
